Condition,Feature,MRE,Frac_NonSig
Healthy (n=14),FVIII,0.017,0.986
Healthy (n=14),vWF,0.069,0.99
Healthy (n=14),FIX,0.071,0.78
Healthy (n=14),FV,0.002,0.997
Healthy (n=14),α₂-AP,0.094,0.9
Healthy (n=14),FVII,0.077,0.849
Healthy (n=14),Fbgn,0.009,0.999
Healthy (n=14),Plgn,0.044,0.944
PCOS (n=3),FVIII,0.129,0.952
PCOS (n=3),vWF,0.206,0.904
PCOS (n=3),FIX,0.1,0.964
PCOS (n=3),FV,0.056,0.943
PCOS (n=3),α₂-AP,0.086,0.985
PCOS (n=3),FVII,0.03,0.999
PCOS (n=3),Fbgn,0.049,0.994
PCOS (n=3),Plgn,0.146,0.683
PE (n=5),FVIII,0.111,0.883
PE (n=5),vWF,0.062,0.96
PE (n=5),FIX,0.078,0.912
PE (n=5),FV,0.005,0.995
PE (n=5),α₂-AP,0.025,0.989
PE (n=5),FVII,0.04,0.994
PE (n=5),Fbgn,0.046,0.996
PE (n=5),Plgn,0.08,0.848
