Threshold,d_PCA,K_over_d,β_star,Novelty,Median_MRE,Mean_MRE,Max_MRE,Corr_MAE
0.85,13,1.77,2.94,0.42,0.0098,0.0154,0.1109,0.1236
0.9,15,1.53,2.94,0.477,0.016,0.0254,0.2075,0.1255
0.95,18,1.28,2.94,0.5,0.0124,0.0221,0.2242,0.1428
0.975,20,1.15,2.94,0.543,0.012,0.0181,0.107,0.1352
0.99,21,1.1,2.94,0.541,0.0172,0.0235,0.1326,0.1384
