Feature,Real_Mean,Real_Std,Synth_Mean,Synth_Std,Mean_Rel_Error
Estradiol,4498.920634920635,5252.929500032269,4482.444476084917,1240.5557908694152,0.0036622470527330054
Progesterone,57.60142857142858,65.19941976926518,55.69395400650586,14.64731008071856,0.03311505655727538
II,99.77894044310345,14.805261692910065,104.41014785462366,4.621973075448124,0.04641467819715968
V,90.4849534274103,15.550800141510829,90.13213830066896,8.310035527426919,0.0038991579635876857
VII,120.82119051625713,40.307204952466165,127.72865389631507,14.094476688674193,0.057170959419808876
VIII,135.75836202106777,70.61850330240947,133.8242670823079,21.15059648108092,0.014246598956900539
IX,113.28235688852793,27.571364832257608,121.7942312925804,9.466008426658743,0.0751385708935093
X,102.1104368560181,15.350238517292155,106.06577231593927,5.878646832396502,0.03873585875945704
XI,85.6776772511417,26.212368370940002,92.95296200995179,12.852515036222789,0.08491458909984795
XII,144.65823242778632,51.89464624549447,144.50017542958867,22.409499706510896,0.001092623596631829
AT,88.9982942276864,6.887796834973698,89.3921855288724,3.5796294459373263,0.004425829782515844
PC,114.9727444214327,21.063757846011,117.15337156879019,7.9893706031508245,0.01896647034330508
TFPI Total,48.30070963361413,14.123742189112345,48.41483725091149,6.46822517159237,0.0023628559117055054
TFPI Free,9.66684069970977,3.2661852443982085,10.279961770885485,1.191414658710106,0.06342517583786432
vWF,15.287380809644269,10.495020154441576,16.228562284819585,4.346413469772084,0.061565907652510236
C1estInh,163.10383050171927,30.84536808685941,170.14343542134648,13.670983283448594,0.043160267284789514
Fbgn,338.2527652331889,85.56870163965185,349.4556178636739,27.280838966809053,0.03311976658272661
Plgn,210.35724906874754,45.06969128485774,227.11499293666478,15.258793895316868,0.07966325830036211
PAI1,2.431612657450285,2.3668344994504182,2.5023347543447114,0.7505463584225704,0.029084441832353036
PAI2,196.82716626612222,301.8143428256061,166.22736048854173,101.96372679687411,0.15546535754219873
α2-AP,53.58109527879703,19.59337520982903,54.92287073838715,9.48888277399457,0.025041956544719628
TAFI,109.03040404428636,36.18598770561122,110.71058582514142,14.305396320501345,0.015410213284843034
FXIII,67.92333941558654,17.888649994164812,70.41494708338676,7.470981518656101,0.036682643834034884
γ',52.770971626048286,17.287918220105585,55.35860674626516,5.678733562502572,0.04903519947583437
γ':γA,0.1555144612013923,0.03195815645903281,0.1581215132112096,0.012513699555231869,0.016764048755833285
γ':γA Fold,1.0833685642902506,0.14586726189315638,1.0905579069036746,0.07049973183687244,0.00663610044669695
TAFIa/ai,21.363486854741538,15.483638346299456,20.562785783059585,4.161358124534479,0.037479886926990134
F-mono,8.551269841269841,8.560070374308149,10.165883291946518,4.717851728767201,0.18881563564796955
tPA PAI1,0.5172076929283405,0.22688426963188865,0.5107478150460761,0.0951182320630692,0.012489910669521579
CD138,190.09608730826565,263.8771268062637,186.00148400227926,101.99275197949466,0.021539650625982964
TM,3107.2868470830545,702.8927393157572,2983.9603550797397,259.8138434609776,0.03968944551066689
NE-α1PI,38.72638916275586,15.945317388113397,35.4083976141322,6.119216236707301,0.08567779285280373
TNFα,0.69985071140051,0.20843282806042573,0.7147120558189342,0.10635452563102442,0.021235020807057935
sIL-6R,34.49523809523809,7.468091879011938,34.275688885799234,3.6522141434710353,0.0063646236861072
TNFα R1,544.0058065700733,139.1143186852737,514.3241324468668,49.45269154156967,0.054561318582880367
TNFα R2,2.183646020959351,0.631320679721807,2.096558674096586,0.18980193373530677,0.03988162276617737
