kind,curvature,p,Rep,Method,OffManifold_Err,Cov_Frob
scurve,0.0,30,1,SA,0.07195338049915914,0.6952111991718667
scurve,0.0,30,1,MVN,0.09572108900570304,0.5386770838134902
scurve,0.0,30,2,SA,0.05397976717238634,0.7929951711746208
scurve,0.0,30,2,MVN,0.058440851567295955,0.24313187790933072
scurve,0.0,30,3,SA,0.04511047298794211,0.7652780902620222
scurve,0.0,30,3,MVN,0.05336382365443814,0.23179131635176387
scurve,0.0,30,4,SA,0.06813148036261606,0.7754780883703688
scurve,0.0,30,4,MVN,0.06005950871624975,0.18603330604740081
scurve,0.0,30,5,SA,0.08086436962265373,0.8513924334324098
scurve,0.0,30,5,MVN,0.046695726081725154,0.1960960720171783
scurve,0.25,30,1,SA,0.09076420168562795,0.7805098749615814
scurve,0.25,30,1,MVN,0.11631371166899918,0.1662357572427572
scurve,0.25,30,2,SA,0.113031307957698,0.7423158804790496
scurve,0.25,30,2,MVN,0.14013338373137757,0.152436858774711
scurve,0.25,30,3,SA,0.11201608030673484,0.7482331508176514
scurve,0.25,30,3,MVN,0.13629039638974297,0.1680071510862125
scurve,0.25,30,4,SA,0.13123214879002223,0.6267665356053714
scurve,0.25,30,4,MVN,0.14467087322314773,0.17229326412583998
scurve,0.25,30,5,SA,0.09581210362408137,0.8391929764088935
scurve,0.25,30,5,MVN,0.12384602353277221,0.2590049203338548
scurve,0.5,30,1,SA,0.15172293787329752,0.6915931499312163
scurve,0.5,30,1,MVN,0.2440845504140301,0.235178429572393
scurve,0.5,30,2,SA,0.19367158983802618,0.5440787994330233
scurve,0.5,30,2,MVN,0.26916757459260127,0.45332180462543475
scurve,0.5,30,3,SA,0.12859906721789677,0.5752741471485238
scurve,0.5,30,3,MVN,0.16527871945024497,0.22495102473296655
scurve,0.5,30,4,SA,0.14571993214579274,0.6285019394499067
scurve,0.5,30,4,MVN,0.19100164138539666,0.234620495156547
scurve,0.5,30,5,SA,0.1352156030770586,0.6700525335953301
scurve,0.5,30,5,MVN,0.2116241024481567,0.14340616067945028
scurve,1.0,30,1,SA,0.20424143758268998,0.7512309239523033
scurve,1.0,30,1,MVN,0.26782654563684377,0.18726524927933522
