kind,curvature,p,Rep,Method,OffManifold_Err,Cov_Frob
scurve,1.0,30,2,SA,0.18608866947601943,0.6813679576482193
scurve,1.0,30,2,MVN,0.30537204904669585,0.2541136717059264
scurve,1.0,30,3,SA,0.18733231492407285,0.768976565683527
scurve,1.0,30,3,MVN,0.24409568954879657,0.27680198108993564
scurve,1.0,30,4,SA,0.17368383222835548,0.5436372054232095
scurve,1.0,30,4,MVN,0.2999870226103267,0.22429508366522588
scurve,1.0,30,5,SA,0.1581321448288485,0.7583906389599394
scurve,1.0,30,5,MVN,0.21391907207973732,0.28423762862727814
scurve,1.5,30,1,SA,0.18815725620498663,0.5354755271207593
scurve,1.5,30,1,MVN,0.3672453119801212,0.5006386921283561
scurve,1.5,30,2,SA,0.2214096087792583,0.8160770367359057
scurve,1.5,30,2,MVN,0.3121955612472886,0.22413799522527358
scurve,1.5,30,3,SA,0.22471286725028697,0.6038818660721006
scurve,1.5,30,3,MVN,0.3101901103685137,0.24057547632123616
scurve,1.5,30,4,SA,0.21974397844601787,0.5935133378231076
scurve,1.5,30,4,MVN,0.34972141928206435,0.3128547759581901
scurve,1.5,30,5,SA,0.1934511600814121,0.6860627954073882
scurve,1.5,30,5,MVN,0.28006330452383305,0.1025889809022554
scurve,2.0,30,1,SA,0.2102009518693422,0.6779591040999408
scurve,2.0,30,1,MVN,0.394286667934648,0.13963411259917066
scurve,2.0,30,2,SA,0.26094771558405544,0.6840567335873008
scurve,2.0,30,2,MVN,0.27326819562351723,0.31134802920858556
scurve,2.0,30,3,SA,0.1794279912808095,0.33186428417396313
scurve,2.0,30,3,MVN,0.3460035575457195,0.13032964873462105
scurve,2.0,30,4,SA,0.21628922743954895,0.6720141518816446
scurve,2.0,30,4,MVN,0.28611165695946583,0.18170248980388173
scurve,2.0,30,5,SA,0.14740853603639578,0.5746050427668212
scurve,2.0,30,5,MVN,0.24321125887158693,0.24336690801867314
scurve,0.0,120,1,SA,0.03589008407008114,0.7448513047642847
scurve,0.0,120,1,MVN,0.08814667914177576,0.6147955811185442
scurve,0.0,120,2,SA,0.04736065678788574,0.8211607105336107
scurve,0.0,120,2,MVN,0.06815739537048365,0.3953579588165095
scurve,0.0,120,3,SA,0.045125102802306465,0.8833783948312175
scurve,0.0,120,3,MVN,0.059757875349484714,0.381141808892855
scurve,0.0,120,4,SA,0.04212366109638108,0.8380888908631504
scurve,0.0,120,4,MVN,0.06898524209393851,0.45604533730735336
scurve,0.0,120,5,SA,0.04801721133127351,0.8230032411287691
scurve,0.0,120,5,MVN,0.060127094344344434,0.3556520943487573
scurve,0.25,120,1,SA,0.09636110874532072,0.8413677614656935
scurve,0.25,120,1,MVN,0.12772704225344908,0.36315067663426465
scurve,0.25,120,2,SA,0.10136289974935205,0.8790468546197497
scurve,0.25,120,2,MVN,0.12125488402109623,0.41727180126327756
scurve,0.25,120,3,SA,0.09506212278968622,0.8737433332190702
scurve,0.25,120,3,MVN,0.1374416751736096,0.351533885073825
scurve,0.25,120,4,SA,0.1004197018536942,0.8789456967635961
scurve,0.25,120,4,MVN,0.12092269157184367,0.40022153640472397
scurve,0.25,120,5,SA,0.11114464422103555,0.8080154668971377
scurve,0.25,120,5,MVN,0.14504022696812144,0.34301531096307497
scurve,0.5,120,1,SA,0.14248962221791966,0.8384943423118549
scurve,0.5,120,1,MVN,0.21315292361551297,0.3920454062851354
scurve,0.5,120,2,SA,0.14193017999377072,0.8486576939676617
scurve,0.5,120,2,MVN,0.19983747717043002,0.3490437557577586
scurve,0.5,120,3,SA,0.15559809608462638,0.8695963150396987
scurve,0.5,120,3,MVN,0.1857533473925458,0.4425612108594335
scurve,0.5,120,4,SA,0.12232935823378303,0.8013638404540323
scurve,0.5,120,4,MVN,0.14859170179000392,0.3846142128111345
scurve,0.5,120,5,SA,0.1408087156977863,0.8066079579075331
scurve,0.5,120,5,MVN,0.21708768975680318,0.4073824313211598
scurve,1.0,120,1,SA,0.16069154481429015,0.7729967854342579
scurve,1.0,120,1,MVN,0.239199504956873,0.24234006265455998
scurve,1.0,120,2,SA,0.18372023671194906,0.7797690157886973
scurve,1.0,120,2,MVN,0.3144084426471217,0.3839740857537237
scurve,1.0,120,3,SA,0.17057686901256497,0.8594141554434596
scurve,1.0,120,3,MVN,0.24244839269568783,0.40342920061330634
scurve,1.0,120,4,SA,0.1800273977601337,0.7771669168887522
scurve,1.0,120,4,MVN,0.2794675056136296,0.28915826369099484
scurve,1.0,120,5,SA,0.16833442073284083,0.8224688225893205
scurve,1.0,120,5,MVN,0.254885583077088,0.30355339618882127
scurve,1.5,120,1,SA,0.14881408548831732,0.8352242084715991
scurve,1.5,120,1,MVN,0.3626256004927513,0.17690643574689682
scurve,1.5,120,2,SA,0.18448911553178618,0.7511538639120564
scurve,1.5,120,2,MVN,0.2937519533427369,0.17359907315684894
scurve,1.5,120,3,SA,0.16812549538098792,0.8029448977502838
scurve,1.5,120,3,MVN,0.3494888105633004,0.2339279783998074
scurve,1.5,120,4,SA,0.23302935046008472,0.8288293930103825
scurve,1.5,120,4,MVN,0.3264760758556324,0.19162804628207805
scurve,1.5,120,5,SA,0.20610295749065738,0.8114011831540212
scurve,1.5,120,5,MVN,0.2904487790105299,0.3253550531188617
scurve,2.0,120,1,SA,0.19199778057138978,0.7081029698771456
scurve,2.0,120,1,MVN,0.2923052552920053,0.16338631711621832
scurve,2.0,120,2,SA,0.18820340595704235,0.8079102478432739
scurve,2.0,120,2,MVN,0.3575610718538119,0.15925151863307654
scurve,2.0,120,3,SA,0.2023555048705844,0.7499113077320894
scurve,2.0,120,3,MVN,0.2882117289994726,0.14871165793114346
scurve,2.0,120,4,SA,0.18569660021281437,0.7685139217910544
scurve,2.0,120,4,MVN,0.4027464315675799,0.19679374242279218
scurve,2.0,120,5,SA,0.1971638091856158,0.8398606097518383
scurve,2.0,120,5,MVN,0.3473571017929173,0.24035014311881817
