Visit,SA_Mean_RE,MVN_Mean_RE,SA_Std_RE,MVN_Std_RE,SA_Corr_MAE,MVN_Corr_MAE,SA_KS_Mean,MVN_KS_Mean,SA_KS_Median,MVN_KS_Median
1,0.0266,0.0239,0.1305,0.0797,0.1406,0.0899,0.1686,0.1708,0.1534,0.1486
2,0.0269,0.0305,0.1819,0.1041,0.1375,0.1039,0.1675,0.1601,0.1438,0.1358
3,0.0251,0.0244,0.1168,0.0681,0.1228,0.0743,0.1569,0.1522,0.1408,0.1423
