Method,Median_MRE,MRE_CI_lo,MRE_CI_hi,CrossVisit_Frob,Mech_Overlap_TFonly,Mech_KS_D,Mech_KS_p,Median_Novelty,Frac_Novel_gt_0p2
SA,0.012352477228135499,0.009778061144940457,0.01597133942721604,0.6406937770577007,0.902,0.04600000000000024,0.5929652131968971,0.5137889436621221,1.0
PCA+GMM,0.011335977870829926,0.009233040979887136,0.013337365289133379,0.42169652664712065,0.918,0.0422318840579713,0.6990678685501281,0.4971791353811565,0.94
PCA+KDE,0.019408140028651096,0.015608694282815274,0.022132444339320625,0.3373441729653658,0.8226666666666667,0.06800000000000035,0.14938605314437578,0.24931241828043021,0.65
PCA+kNN,0.016288061984142857,0.013935067743299844,0.021485869851133474,0.5870397564465674,0.938,0.04628985507246366,0.5848800160966519,0.05139427512225131,0.05
PCA+Copula,0.01339287599768502,0.011476600997025636,0.017328270909614207,0.4174181412767477,0.934,0.057478260869565284,0.31222468479719856,0.46180266690088095,1.0
