Feature,Real_Mean,Real_Std,Synth_Mean,Synth_Std,Mean_Rel_Error
Estradiol,4851.078947368421,5605.632738505465,4491.719835131503,1276.4657477711835,0.07407818263437263
Progesterone,54.72789473684211,61.91501604347928,54.15690078226531,16.634189044371755,0.010433325771481096
II,109.86752414529859,13.561305386792926,105.38683735359962,4.373246984928906,0.040782631870117624
V,92.99414361663582,15.543750611036591,91.64528883096762,6.72925508435456,0.014504728289437259
VII,138.1505838689979,43.89121610696639,128.82607943951783,13.146068387678929,0.06749522273696713
VIII,123.73197081697627,49.03051803562286,130.14274784592308,18.12297810788742,0.05181180730103783
IX,135.04314915436586,22.385425546352817,124.41106752453878,9.603951073096201,0.07873099595503143
X,112.20409055918417,16.80704487958032,107.3232344915437,6.2769609339093435,0.04349980507231121
XI,103.42099045810471,24.300354000624882,95.39964579963197,13.055239532300265,0.07756012220480664
XII,142.95327352340522,48.737226686265956,147.275737037635,21.51215383632422,0.0302368977477251
AT,89.80727253875312,10.845154566669963,89.4178377413942,3.7694461894164717,0.004336339211180072
PC,121.31039941062684,26.431214641993385,118.258712195951,8.046959808970005,0.025156023139830733
TFPI Total,49.0544965581594,7.852976106595666,48.00618653205226,5.70546706437322,0.02137031464310828
TFPI Free,10.671005430201296,4.291565206976779,10.182066670141882,1.3959622086064778,0.04581937131018689
vWF,14.776142862789712,10.122823220183811,14.891622844087097,3.8956485083791264,0.007815299457356682
C1estInh,177.77065505720404,35.34732369162627,169.78357974928977,12.433122188777249,0.044929098704981095
Fbgn,359.84434426890607,89.58890302039133,347.69693948606096,26.47998408056204,0.03375738698221014
Plgn,250.5249446088771,42.5688655352882,230.6455560507702,17.364349475145172,0.07935093485059083
PAI1,2.8835710466722184,2.9905580196599413,2.4937919215597604,0.8251042683122374,0.13517236745814956
PAI2,180.36439899422123,231.2861590953583,169.56536845214737,92.1209209100642,0.05987340407693128
α2-AP,69.48476860374998,26.752519138436647,60.24499593167353,10.626839026891517,0.13297551186747134
TAFI,106.76056579297287,31.895453116976782,107.39118026960433,14.496037180120014,0.0059068109273075105
FXIII,69.42048698367067,21.30590140826905,69.55524790898347,7.634741368342605,0.001941227023436224
γ',59.954164849764815,17.709346656772162,55.46973002836534,5.4651567353074295,0.07479771976870538
γ':γA,0.16588354591376708,0.02169300797448215,0.1588927408524453,0.010742737643103802,0.042142848001066185
γ':γA Fold,1.0930009037107937,0.12313333012075121,1.0979778698513543,0.06586370789125598,0.004553487672026145
TAFIa/ai,20.039130145115045,13.85165206892884,20.028282089654866,3.6442863428006054,0.0005413436302685119
F-mono,11.46236842105263,10.150807565852869,11.340464770522644,4.624147793794449,0.010635118856072505
tPA PAI1,0.5140820117227476,0.24248754856056973,0.5093250142950225,0.10914058252555806,0.009253382377227752
CD138,163.7295274317481,243.31102200709765,167.16596154515756,103.31585269326361,0.020988481230680676
TM,2789.11958370865,526.6199836353788,2904.9890222014433,257.26271696068125,0.04154337417785551
NE-α1PI,34.922028640133156,15.074368796913777,35.23254160984588,6.923257168044094,0.008891607441037291
TNFα,0.7639431456054193,0.3130747390006998,0.7215805277016055,0.1263457322851332,0.05545257935424203
sIL-6R,35.43684210526315,7.686155368763622,34.44785816633154,3.353756787994858,0.02790835413589872
TNFα R1,463.8984099819873,116.44650874633811,497.3338524355152,53.04608069243117,0.07207492359119355
TNFα R2,1.8751161028319825,0.50321434226856,1.9983483051775845,0.20246706915934412,0.06571977178345641
