Replicate,LatentSeed,MagnitudeSeed,Median_MRE,CrossVisit_Frob,Median_Novelty,Frac_Novelty_gt_thresh,DCR_synth_to_real_median
1,1001,2001,0.013177237888917975,0.6138182266293205,0.5023100510056038,1.0,13.687667223331236
2,1002,2002,0.012367870775489492,0.6182346985032269,0.4938259486943434,1.0,14.013701237399475
3,1003,2003,0.008983413897749233,0.5936405146811929,0.5141722799652886,1.0,13.697423457048956
4,1004,2004,0.010909286302389652,0.6368281927205963,0.516265351001175,1.0,13.87518180885054
5,1005,2005,0.01447556773185604,0.629590004507966,0.5028832791325052,1.0,14.147289631324082
6,1006,2006,0.019738472194890944,0.6064104895534352,0.5205411898104224,1.0,14.37854883187889
7,1007,2007,0.01641474889646065,0.5666672656307833,0.49782500556553727,1.0,13.672117092946184
8,1008,2008,0.011971505197568113,0.5732118747485663,0.5052559654345712,1.0,13.773568480764368
9,1009,2009,0.016531940598625415,0.603663253619762,0.5200753612893636,1.0,14.297125016101806
10,1010,2010,0.017516510847457218,0.5930018937240908,0.5059316533902546,1.0,13.951337116877202
11,1011,2011,0.01475929702252142,0.5924822788557212,0.5152923654850838,1.0,14.093656218542945
12,1012,2012,0.012197982649122136,0.5439733937022228,0.4992999606395509,1.0,13.9539052736921
13,1013,2013,0.014163850174108579,0.6198658584568528,0.477442627552898,1.0,13.98275732359711
14,1014,2014,0.014541945572957746,0.6279983011165905,0.5199532059257618,1.0,14.350247573488243
15,1015,2015,0.01577422432197808,0.5742064543428217,0.5252528997781204,1.0,14.540280938468415
16,1016,2016,0.013683441832637484,0.5935618607131221,0.5311640129840772,1.0,14.04545731111088
17,1017,2017,0.016450281971655975,0.5872103960322331,0.4918969296293397,1.0,13.682841335983095
18,1018,2018,0.01118862675181279,0.5926761136010742,0.5173333027605715,1.0,13.764042673852778
19,1019,2019,0.01193504324813834,0.5514390708357445,0.48246695132799233,0.98,14.11611309416798
20,1020,2020,0.016083121933080514,0.5798626951139697,0.5104624986348479,0.99,14.080365282785287
21,1021,2021,0.013554106776110044,0.5694224282500132,0.5043707024519373,1.0,13.551824226682717
22,1022,2022,0.010141923366245541,0.5806922152759083,0.5023744650777733,1.0,13.939485743473593
23,1023,2023,0.019130040546969727,0.6374370285712411,0.518444972439647,1.0,14.012790429348701
24,1024,2024,0.013321169935375493,0.5696679733136173,0.5007228658686342,1.0,14.2309625129184
25,1025,2025,0.011164210676501977,0.6366002290557967,0.4991917077354587,1.0,13.859768994590494
26,1026,2026,0.012653508246812903,0.5684080377905152,0.5148937626327015,1.0,13.847826783619265
27,1027,2027,0.01154871477935751,0.6427004699657224,0.5420300132298982,1.0,14.307559372534552
28,1028,2028,0.01664665001151081,0.6058412517387594,0.5107996702662457,1.0,13.681736030489311
29,1029,2029,0.012813098199775923,0.5978239802885933,0.5031322960306692,1.0,14.320772699497626
30,1030,2030,0.012470275268039083,0.5875075414720551,0.5187962658380927,0.99,14.201490143376503
31,1031,2031,0.01370026030057454,0.56855093559219,0.5351568097696806,1.0,13.911963836274179
32,1032,2032,0.016414580199735792,0.5539690665532326,0.49874886010414937,0.99,13.77159796109393
33,1033,2033,0.011935413528830676,0.5403038619429693,0.4920636543354729,1.0,13.677496141851137
34,1034,2034,0.0145086639374481,0.6149472968081665,0.5165336561375444,1.0,14.05393295928086
35,1035,2035,0.017869458358955384,0.6495264990782879,0.5243686159077046,1.0,13.975154668050182
36,1036,2036,0.019699803104129644,0.6014896758254182,0.523915129578917,0.99,14.080614961280645
37,1037,2037,0.013992080086505074,0.5469421565209359,0.5321899782977595,1.0,14.248294349906256
38,1038,2038,0.011297068106863695,0.6545404879341046,0.5190486496216966,0.99,13.923384267356042
39,1039,2039,0.012925637271263345,0.5873288677672386,0.49725127626818894,1.0,14.044648499564833
40,1040,2040,0.016304501897454058,0.6428376430171738,0.5063114327123328,1.0,13.875518394467056
41,1041,2041,0.015676586595431398,0.6122434857634416,0.5149110848070542,0.99,13.807091726735354
42,1042,2042,0.013398970099911197,0.6279912171608321,0.5234315227544423,1.0,13.890715149776371
43,1043,2043,0.015340549770258482,0.6005244485681591,0.5337724086007904,1.0,14.390517635020569
44,1044,2044,0.013847359987890821,0.604763469747951,0.513289967288034,1.0,14.275496210950656
45,1045,2045,0.013577110712689678,0.5211588587596274,0.5115536012976624,1.0,13.901092239526678
46,1046,2046,0.015014744597535948,0.6308204811551488,0.5225850379273805,1.0,14.023412582416686
47,1047,2047,0.017506627963710837,0.5929043759101886,0.4983096683082381,1.0,13.693193183680776
48,1048,2048,0.010220917055058742,0.5939919147670791,0.502779576994455,1.0,14.601932688454497
49,1049,2049,0.016263250809462497,0.6055193467332086,0.5272297025787944,1.0,13.835987515251833
50,1050,2050,0.0139110018301053,0.5962308229745852,0.5188120013912969,1.0,13.854107874274971
51,1051,2051,0.013581773247960366,0.6253606847995558,0.5378788124218654,1.0,14.3969103809485
52,1052,2052,0.014711504093824823,0.5640780358988864,0.5093229819511841,1.0,13.88540129382426
53,1053,2053,0.015684583528475682,0.5708886222071842,0.5154325927049737,0.99,13.822388931987476
54,1054,2054,0.013789323733778652,0.6196669413462287,0.5024723175215962,1.0,13.688979403205138
55,1055,2055,0.010678305753676693,0.5627387088432045,0.5287506249536776,0.99,13.799035616073358
56,1056,2056,0.016061385813556636,0.6083939707943871,0.5197203882988075,1.0,13.72766051437564
57,1057,2057,0.01451143532283983,0.5876779163643344,0.5221022330264143,1.0,14.40727289419501
58,1058,2058,0.01637024016607526,0.5820522486620326,0.49438463452956694,1.0,13.796049341147658
59,1059,2059,0.012510272816356086,0.6203750149180067,0.5094970303126138,0.99,13.73710962846536
60,1060,2060,0.009510397240488067,0.6124333962610383,0.49093496727783237,1.0,13.867020056541778
61,1061,2061,0.019223011387785732,0.5882805778154196,0.5122650375212512,1.0,13.531945957655916
62,1062,2062,0.011977284205036902,0.6408282796745577,0.5476596839732641,1.0,13.678919797868417
63,1063,2063,0.00969816133139825,0.5883909939635866,0.48934859777854833,1.0,13.597772732737145
64,1064,2064,0.01831253286561551,0.5917722196177185,0.5001696662940299,0.99,14.15073042666921
65,1065,2065,0.015272192541198066,0.641599609338998,0.5333878194808306,1.0,14.309601359552161
66,1066,2066,0.013398780032075785,0.56859634037186,0.4995501485493253,1.0,13.956699994727064
67,1067,2067,0.01619804744627889,0.6114725401009115,0.5139644271962974,1.0,13.810888153929124
68,1068,2068,0.012701038276200196,0.6389703822345152,0.5199855303394363,1.0,13.887039833953416
69,1069,2069,0.016515420025909743,0.5819313339627598,0.5305161156663443,1.0,14.351164596557938
70,1070,2070,0.014332637860272633,0.6014144463944195,0.5289493869221353,1.0,14.291362719274979
71,1071,2071,0.01346820819300161,0.5706674487510709,0.5193439849394308,1.0,13.6040217530416
72,1072,2072,0.01572348575196537,0.5582430924436147,0.49833266200467297,1.0,13.843007721115814
73,1073,2073,0.01741357874676533,0.5617451775515485,0.5082052980289811,1.0,14.061748120368598
