Source,Condition,Visit,Feature,Spearman,N
Real,TF-only,1,Lagtime (min),-0.45451137947238146,23
Real,TF-only,1,Peak (nM),0.23517786561264822,23
Real,TF-only,1,T.Peak (min),0.1982143367622486,23
Real,TF-only,1,Max Rate (nM/min),-0.26383399209486164,23
Real,TF-only,1,ETP (nM·min),0.7539525691699605,23
Real,TF-only,2,Lagtime (min),-0.0852812308379174,23
Real,TF-only,2,Peak (nM),0.6047430830039525,23
Real,TF-only,2,T.Peak (min),0.07091432373212835,23
Real,TF-only,2,Max Rate (nM/min),0.516798418972332,23
Real,TF-only,2,ETP (nM·min),0.7806324110671937,23
Real,TF-only,3,Lagtime (min),-0.006024431164412205,23
Real,TF-only,3,Peak (nM),0.22233201581027667,23
Real,TF-only,3,T.Peak (min),0.10669062049560396,23
Real,TF-only,3,Max Rate (nM/min),-0.025691699604743084,23
Real,TF-only,3,ETP (nM·min),0.43774703557312256,23
Synthetic,TF-only,1,Lagtime (min),-0.08898752402702305,100
Synthetic,TF-only,1,Peak (nM),0.325988598859886,100
Synthetic,TF-only,1,T.Peak (min),0.23510735426091495,100
Synthetic,TF-only,1,Max Rate (nM/min),0.009192919291929193,100
Synthetic,TF-only,1,ETP (nM·min),0.6476687668766876,100
Synthetic,TF-only,2,Lagtime (min),-0.07616102240384931,100
Synthetic,TF-only,2,Peak (nM),0.6114491449144914,100
Synthetic,TF-only,2,T.Peak (min),-0.2161870258806508,100
Synthetic,TF-only,2,Max Rate (nM/min),0.42111011101110113,100
Synthetic,TF-only,2,ETP (nM·min),0.5866066606660666,100
Synthetic,TF-only,3,Lagtime (min),0.07748394865968608,100
Synthetic,TF-only,3,Peak (nM),-0.16636063606360635,100
Synthetic,TF-only,3,T.Peak (min),0.1435963068261941,100
Synthetic,TF-only,3,Max Rate (nM/min),-0.25126912691269127,100
Synthetic,TF-only,3,ETP (nM·min),0.23473147314731474,100
Real,TF+TM,1,Lagtime (min),-0.482028063657577,23
Real,TF+TM,1,Peak (nM),-0.3201581027667984,23
Real,TF+TM,1,T.Peak (min),0.1610379921477185,23
Real,TF+TM,1,Max Rate (nM/min),0.05632411067193676,23
Real,TF+TM,1,ETP (nM·min),-0.1600790513833992,23
Real,TF+TM,2,Lagtime (min),-0.0538324739656434,23
Real,TF+TM,2,Peak (nM),0.3547430830039526,23
Real,TF+TM,2,T.Peak (min),0.08422741789860715,23
Real,TF+TM,2,Max Rate (nM/min),0.41798418972332013,23
Real,TF+TM,2,ETP (nM·min),0.34189723320158105,23
Real,TF+TM,3,Lagtime (min),-0.06591843905967099,23
Real,TF+TM,3,Peak (nM),0.016798418972332016,23
Real,TF+TM,3,T.Peak (min),0.17150491873008472,23
Real,TF+TM,3,Max Rate (nM/min),0.1966403162055336,23
Real,TF+TM,3,ETP (nM·min),0.20454545454545456,23
Synthetic,TF+TM,1,Lagtime (min),-0.1655744688483104,100
Synthetic,TF+TM,1,Peak (nM),-0.04103210321032103,100
Synthetic,TF+TM,1,T.Peak (min),0.2909632401072206,100
Synthetic,TF+TM,1,Max Rate (nM/min),0.24729672967296729,100
Synthetic,TF+TM,1,ETP (nM·min),0.02583858385838584,100
Synthetic,TF+TM,2,Lagtime (min),-0.07449240523779217,100
Synthetic,TF+TM,2,Peak (nM),0.3955835583558356,100
Synthetic,TF+TM,2,T.Peak (min),-0.08242429075157061,100
Synthetic,TF+TM,2,Max Rate (nM/min),0.27881188118811884,100
Synthetic,TF+TM,2,ETP (nM·min),0.4544734473447345,100
Synthetic,TF+TM,3,Lagtime (min),-0.00811096426814853,100
Synthetic,TF+TM,3,Peak (nM),-0.4323912391239124,100
Synthetic,TF+TM,3,T.Peak (min),0.01985315959565319,100
Synthetic,TF+TM,3,Max Rate (nM/min),-0.33064506450645065,100
Synthetic,TF+TM,3,ETP (nM·min),-0.35745574557455745,100
