Method,Feature,NegativeMeasurements,NegativePatients,MinSynthetic,MedianAbsNegative,MaxAbsNegative
SA,Estradiol,20,19,-2109.75278886327,134.69269775347138,2109.75278886327
SA,Progesterone,37,37,-75.77572878058972,0.25918784956581603,75.77572878058972
SA,AnyHormone,57,46,NaN,NaN,NaN
MVN,Estradiol,28,27,-554.9103493304848,112.88297772732415,554.9103493304848
MVN,Progesterone,30,30,-44.35421927426752,0.2885905192537878,44.35421927426752
MVN,AnyHormone,58,43,NaN,NaN,NaN
