n,Rep,Cov_Frob_vs_full23,Marginal_MRE,Mech_Overlap
20,1,0.6201666157802659,0.017530063099864962,0.92
20,2,0.5998055983523805,0.017525399743187724,0.9126666666666666
20,3,0.6164430520409088,0.02049955097601728,0.8893333333333333
20,4,0.6268282487014417,0.021263139812150708,0.9
20,5,0.6301823248625231,0.018100895888841742,0.902
20,6,0.6313557698472203,0.027041011845210718,0.898
20,7,0.6246671810327703,0.0219387100545326,0.9153333333333333
20,8,0.615397227156365,0.01775112526239908,0.894
20,9,0.6696287452629633,0.01905447643716259,0.902
20,10,0.6929404891134268,0.019917830268703644,0.9353333333333333
15,1,0.7941739726950631,0.026262316563878986,0.9286666666666666
15,2,0.7154456109378056,0.028541513239860646,0.882
15,3,0.7171485234686942,0.02494707004077896,0.9173333333333333
15,4,0.6824905079101994,0.02987505030203992,0.89
15,5,0.7367908443589116,0.027672938176554467,0.918
15,6,0.7667223555295576,0.02466882717548048,0.9266666666666666
15,7,0.6708361821007053,0.03532448907367599,0.896
15,8,0.7470063138043339,0.020893946427588652,0.902
15,9,0.7378651907110211,0.023827823832214143,0.8913333333333333
15,10,0.7759537666717315,0.029652234961907914,0.9226666666666666
10,1,0.9977497075430845,0.04892789140585449,0.9053333333333333
10,2,1.0662442679205808,0.04328375526234373,0.9453333333333334
10,3,0.8665256651156438,0.05189997936389401,0.8926666666666667
10,4,0.9134508938148944,0.038213205237918296,0.9026666666666666
10,5,1.0210578644246004,0.04076060374278946,0.888
10,6,0.9771714358835704,0.033027767659231225,0.9353333333333333
10,7,0.9543841398345605,0.04521596120544505,0.916
10,8,0.9678353780591715,0.03077182260752752,0.8886666666666667
10,9,1.0452611668284788,0.045397434151190616,0.8886666666666667
10,10,0.9498709477242838,0.0380546586710243,0.9226666666666666
8,1,1.1754406286691481,0.0437736808725795,0.8893333333333333
8,2,1.1569583002429327,0.0581012629524546,0.9266666666666666
8,3,1.086602024741426,0.057364617390756475,0.892
8,4,1.1244084906830838,0.049121404841420066,0.8793333333333333
8,5,1.0413735705225027,0.029958071171236327,0.8913333333333333
8,6,1.02455545856792,0.04185921693741089,0.9353333333333333
8,7,1.2076107671906948,0.0533839823259988,0.9166666666666666
8,8,1.0067836785767619,0.0463224888505739,0.888
8,9,1.1180458973513547,0.05673196290499745,0.886
8,10,1.139935529901002,0.049364372601052364,0.8966666666666666
