n,p,r,tail,Method,Cov_Frob,Marginal_MRE,Marginal_KS
15,30,10,heavy,SA,1.228474119875395,3.054342995275597,0.4195866666666597
15,30,10,heavy,MVN,1.5729035904625457,4.4299583489817,0.4321733333333247
23,30,10,heavy,SA,0.7909413402761566,3.4228045230159454,0.3984533333333271
23,30,10,heavy,MVN,0.7431786608970283,3.865474683550356,0.40233333333332594
40,30,10,heavy,SA,0.849615786945855,3.4144903718176067,0.4268599999999972
40,30,10,heavy,MVN,0.7897848949230549,3.268333776250339,0.41125333333332814
80,30,10,heavy,SA,0.7977059508805588,2.982344840452375,0.3974399999999945
80,30,10,heavy,MVN,0.5604807714847904,2.98435764150151,0.4342266666666574
8,120,3,gaussian,SA,0.3901712008891257,13.191001840463173,0.1927833333333349
8,120,3,gaussian,MVN,0.8249777992450337,19.866467192460966,0.24982333333333184
15,120,3,gaussian,SA,0.44425837947100044,16.035192855813143,0.16132833333333313
15,120,3,gaussian,MVN,0.491543044338949,13.18728626418951,0.1341166666666658
23,120,3,gaussian,SA,0.6880701970261729,10.464809592304913,0.1260816666666677
23,120,3,gaussian,MVN,1.0534986466869798,8.5727836903918,0.11077000000000109
40,120,3,gaussian,SA,0.4303849624413154,3.586708650668682,0.1365300000000008
40,120,3,gaussian,MVN,0.574679432779626,6.990967579002597,0.1540150000000001
80,120,3,gaussian,SA,0.3574053820592657,8.626620269039009,0.15335000000000057
80,120,3,gaussian,MVN,0.3530823750823722,5.713932045925901,0.09197333333333338
8,120,3,heavy,SA,1.806484505570895,2.9663849672239464,0.26322833333333373
8,120,3,heavy,MVN,2.6255960284598365,4.906702801925646,0.2843166666666664
15,120,3,heavy,SA,1.8740068926395588,4.02413121681946,0.30381166666666365
15,120,3,heavy,MVN,2.206957488695362,7.61228726804169,0.3660699999999954
23,120,3,heavy,SA,0.8593115903307325,1.1813327919522179,0.18924333333333318
23,120,3,heavy,MVN,0.8504860858678003,1.6837273322338804,0.20941666666666822
40,120,3,heavy,SA,1.0108078185469827,2.306584876326716,0.2469166666666644
40,120,3,heavy,MVN,1.1861168289184807,1.746778929861419,0.2632333333333315
80,120,3,heavy,SA,1.1600392573485099,2.2358282663313487,0.19895999999999975
80,120,3,heavy,MVN,0.8231274988166255,3.2068962015787355,0.256743333333332
8,120,5,gaussian,SA,0.6182195769906088,22.895009583076163,0.2643666666666641
8,120,5,gaussian,MVN,0.7647664247949001,28.803233093334768,0.2799533333333298
15,120,5,gaussian,SA,0.40098139787259107,11.636373066023157,0.1855400000000009
15,120,5,gaussian,MVN,0.4765366705636674,13.33009087688616,0.19665500000000152
23,120,5,gaussian,SA,0.3888386660640243,6.290399890113542,0.11094999999999937
23,120,5,gaussian,MVN,0.8758602427143432,4.8479929291634285,0.11308833333333311
40,120,5,gaussian,SA,0.32512646890411,4.275512167306403,0.11696666666666666
40,120,5,gaussian,MVN,0.8135840034274903,4.998954737419289,0.11673499999999949
80,120,5,gaussian,SA,0.25061389312601023,2.4377337076078733,0.08022833333333387
80,120,5,gaussian,MVN,0.5161621299583833,1.91995156219769,0.07993333333333325
8,120,5,heavy,SA,2.447019002340221,3.1251198559936126,0.328089999999996
8,120,5,heavy,MVN,4.904046897379585,3.030304551102632,0.33604833333332945
15,120,5,heavy,SA,1.5782669277370673,3.6008950722015305,0.3408283333333301
15,120,5,heavy,MVN,2.695961017457604,6.26666482685776,0.3926499999999953
23,120,5,heavy,SA,0.867892454646864,1.5126834567393526,0.25980499999999873
23,120,5,heavy,MVN,0.8308751874081816,1.9666188856490066,0.29259499999999855
40,120,5,heavy,SA,1.128106120739816,2.710534290040483,0.3362383333333298
40,120,5,heavy,MVN,1.48102285020811,3.7165572229349393,0.38232333333332474
80,120,5,heavy,SA,1.342378304370901,1.9251340738136578,0.305964999999997
80,120,5,heavy,MVN,0.8911189029601656,3.28443451031326,0.3539133333333289
8,120,10,gaussian,SA,0.7099901452990107,15.173003252487648,0.1935533333333334
8,120,10,gaussian,MVN,1.261621025180707,12.767129943911865,0.1768066666666671
15,120,10,gaussian,SA,0.5334685983244942,6.089356752688534,0.12925500000000048
15,120,10,gaussian,MVN,0.7460392997481936,5.871916766840909,0.1333783333333331
23,120,10,gaussian,SA,0.5375999187477695,6.580953493360352,0.1174133333333339
23,120,10,gaussian,MVN,0.9209621080753241,7.690176248868016,0.13071500000000097
40,120,10,gaussian,SA,0.449986640604657,15.302187639874823,0.14000833333333362
40,120,10,gaussian,MVN,0.4798449274489786,9.856848425443097,0.11329000000000007
80,120,10,gaussian,SA,0.4788091679243478,6.1645658485212715,0.10767666666666688
80,120,10,gaussian,MVN,0.49781948299444956,5.262770044120949,0.09523666666666664
8,120,10,heavy,SA,1.4897421091339391,6.46029654571526,0.4440766666666608
8,120,10,heavy,MVN,2.2483476248670753,8.445690668327408,0.44748166666666056
15,120,10,heavy,SA,1.5674306407229055,8.562116554577978,0.43955333333332536
15,120,10,heavy,MVN,2.4435621473745717,12.08419013762941,0.42303666666665785
23,120,10,heavy,SA,1.005056969673605,3.8009875554910275,0.42875166666666015
23,120,10,heavy,MVN,1.3655235460570805,4.344178217284879,0.4305433333333255
40,120,10,heavy,SA,1.1098422363258915,3.416785626899176,0.4011166666666603
40,120,10,heavy,MVN,1.197098709903522,5.283742198077553,0.42339166666666106
80,120,10,heavy,SA,0.9599547985609092,3.6255878435223052,0.4036049999999953
80,120,10,heavy,MVN,0.8885320773430798,4.264005136898337,0.41086166666665547
8,216,3,gaussian,SA,0.6261304371147087,11.17901694445505,0.21981111111111137
8,216,3,gaussian,MVN,1.0636394428416267,9.706916772285087,0.17828611111111162
15,216,3,gaussian,SA,0.49235451560501303,7.643059365234844,0.15710185185185163
15,216,3,gaussian,MVN,0.611496996169483,6.744404149899345,0.12662962962963056
23,216,3,gaussian,SA,0.5624207995653168,8.5883976542243,0.1689101851851874
23,216,3,gaussian,MVN,0.7790622541520577,9.844002684729027,0.17333333333333537
40,216,3,gaussian,SA,0.6028350009239234,4.860141479577347,0.13952129629629553
40,216,3,gaussian,MVN,0.34778367011332106,6.897753613048538,0.107181481481482
80,216,3,gaussian,SA,0.6095386376164132,5.250388824985408,0.16940185185185164
80,216,3,gaussian,MVN,0.3015713530892016,10.267841132558475,0.14563148148148183
8,216,3,heavy,SA,2.720220609407695,3.2712083405113113,0.26621759259259326
8,216,3,heavy,MVN,3.5878052823877082,2.4046940933468,0.25784259259259296
15,216,3,heavy,SA,0.9516937560737151,4.735915385439945,0.29250555555555313
15,216,3,heavy,MVN,1.0941731624656885,6.238358657124014,0.2850509259259245
23,216,3,heavy,SA,1.1607783325352539,4.394946337424051,0.3200629629629582
23,216,3,heavy,MVN,1.3453943394834404,7.720539277903994,0.3485481481481429
40,216,3,heavy,SA,0.8474775555798684,1.5770557494479838,0.21830740740740678
40,216,3,heavy,MVN,0.6728401313238223,1.5933559329889357,0.22584814814814874
80,216,3,heavy,SA,0.8403216914143097,2.6692898058693046,0.2571370370370359
80,216,3,heavy,MVN,0.6100229093366848,4.10151478378848,0.3099018518518503
8,216,5,gaussian,SA,0.5194079454955685,13.071041591721714,0.26852407407407536
8,216,5,gaussian,MVN,0.8960793270738029,13.614747101966682,0.2640287037037048
15,216,5,gaussian,SA,0.3598794914599968,12.937854075515665,0.13805462962963033
15,216,5,gaussian,MVN,0.6853119931205917,19.05674916846008,0.18069166666666664
23,216,5,gaussian,SA,0.4032260766411731,8.217675501030723,0.12276296296296281
23,216,5,gaussian,MVN,0.642512922845565,6.056650780119771,0.10478333333333355
40,216,5,gaussian,SA,0.3245588096941355,3.2640129581286796,0.09582500000000023
40,216,5,gaussian,MVN,0.4349782530484255,4.068690445869713,0.10645370370370345
80,216,5,gaussian,SA,0.291394091482703,3.3996334429173345,0.102246296296297
80,216,5,gaussian,MVN,0.37548255916150397,2.7166255026412442,0.09418240740740791
8,216,5,heavy,SA,0.9849870721442934,1.2447788048081796,0.23807407407407452
8,216,5,heavy,MVN,0.9588570822710036,1.2618528088443393,0.244853703703704
15,216,5,heavy,SA,1.2624751251646302,2.4457502557920154,0.33182499999999715
15,216,5,heavy,MVN,2.237999891322119,3.276902387959516,0.366549999999996
23,216,5,heavy,SA,1.2919230035785279,3.7109692950936886,0.35267777777777565
23,216,5,heavy,MVN,2.211224884971252,5.676415875761549,0.38322685185184713
40,216,5,heavy,SA,0.9944663684864004,1.816798818554095,0.2973601851851828
40,216,5,heavy,MVN,1.3054084417627454,3.2858732226329384,0.34724166666666173
80,216,5,heavy,SA,0.9511852683337132,2.5378622529840706,0.3103259259259232
80,216,5,heavy,MVN,0.8991800050397964,3.2028642308163002,0.35843240740740256
8,216,10,gaussian,SA,0.8191761076132407,14.470559637140951,0.21560370370370302
8,216,10,gaussian,MVN,1.063605521931686,12.69826448838285,0.197800925925926
15,216,10,gaussian,SA,0.5224213369097337,10.535845843098931,0.14889537037037073
15,216,10,gaussian,MVN,0.8767383095266903,10.977012534277392,0.13330185185185206
23,216,10,gaussian,SA,0.47595304653709253,5.087307408292107,0.12353981481481612
23,216,10,gaussian,MVN,0.7045774222278438,4.329113996929644,0.11964814814814904
40,216,10,gaussian,SA,0.5220711752155978,7.090721194307345,0.10671851851851909
40,216,10,gaussian,MVN,0.720973101110372,8.318433070775772,0.11943518518518548
80,216,10,gaussian,SA,0.35753236393955895,4.549976136010247,0.10290277777777826
80,216,10,gaussian,MVN,0.6883549897209146,5.091740184057997,0.11078796296296359
8,216,10,heavy,SA,2.1108178376485665,4.173262211623635,0.40132870370369983
8,216,10,heavy,MVN,3.4715948077817282,4.867792151055328,0.410179629629624
15,216,10,heavy,SA,1.5247371178505043,3.86800777619157,0.42965555555555074
15,216,10,heavy,MVN,2.795798063959451,6.968040752612129,0.4386027777777717
23,216,10,heavy,SA,1.2021445363709649,6.065769947725654,0.4283240740740664
23,216,10,heavy,MVN,1.262504154454012,8.139514869938674,0.43703518518517687
40,216,10,heavy,SA,1.0476692419346723,3.945887351904343,0.41841111111110685
40,216,10,heavy,MVN,1.0935076363685776,5.119473784554912,0.4213175925925852
80,216,10,heavy,SA,0.9684818316537194,3.8125493321854176,0.39798148148147544
80,216,10,heavy,MVN,1.029438545915615,5.304548977726987,0.4229453703703612
