n,p,r,tail,Method,Cov_Frob,Marginal_MRE,Marginal_KS
8,30,3,gaussian,SA,0.49250307319192754,7.233189540511621,0.12488666666666828
8,30,3,gaussian,MVN,0.7456107591680928,6.450193878524809,0.12356666666666824
15,30,3,gaussian,SA,0.4459091560645083,2.4996626415206435,0.12558666666666668
15,30,3,gaussian,MVN,0.5777801068475787,2.7707571572367935,0.09837333333333399
23,30,3,gaussian,SA,0.38374651764827544,11.201920732288691,0.1674000000000015
23,30,3,gaussian,MVN,0.5717131589304743,11.244253764259625,0.12760000000000107
40,30,3,gaussian,SA,0.39265831365645354,4.520349374506656,0.10360666666666614
40,30,3,gaussian,MVN,0.25622413967774604,4.6958662217517455,0.08087333333333363
80,30,3,gaussian,SA,0.11961208796405463,13.99889354440868,0.11311999999999986
80,30,3,gaussian,MVN,0.22686519166402655,11.392819002067647,0.10704666666666601
8,30,3,heavy,SA,0.6322315694059055,10.115852265509936,0.323906666666667
8,30,3,heavy,MVN,2.027360147583618,13.354651260552805,0.35631333333333187
15,30,3,heavy,SA,0.9151777406908121,3.8932124162593684,0.37081999999999415
15,30,3,heavy,MVN,0.9342201608476651,9.242926534536014,0.4259533333333245
23,30,3,heavy,SA,0.7767478225060679,2.973663968689313,0.2527000000000005
23,30,3,heavy,MVN,1.639960783501199,1.9857296465963512,0.3192133333333229
40,30,3,heavy,SA,0.9801722060063057,1.4449690171241931,0.16163333333333538
40,30,3,heavy,MVN,0.9778761185596139,1.1201774019415058,0.19541333333333577
80,30,3,heavy,SA,0.8426793639795229,1.538320664596743,0.26269999999999744
80,30,3,heavy,MVN,0.6092669353128273,4.303465905143813,0.33796666666666203
8,30,5,gaussian,SA,0.5788156069135865,12.329231047579396,0.17651333333333288
8,30,5,gaussian,MVN,0.7418268883435277,12.04393043718029,0.16352666666666474
15,30,5,gaussian,SA,0.5418563697246294,11.221761090724053,0.13570666666666523
15,30,5,gaussian,MVN,0.5403584604836043,12.136055234407875,0.14762000000000086
23,30,5,gaussian,SA,0.4205201013606728,6.40422447094142,0.11621333333333395
23,30,5,gaussian,MVN,0.5363673392020677,5.967928020074085,0.11343333333333314
40,30,5,gaussian,SA,0.412654911675449,10.316056616750824,0.12372000000000034
40,30,5,gaussian,MVN,0.17373168168748399,8.702630693149269,0.09553333333333366
80,30,5,gaussian,SA,0.27000323117314196,2.278456812393759,0.09766666666666697
80,30,5,gaussian,MVN,0.37470473378110586,2.605227717947692,0.1102466666666674
8,30,5,heavy,SA,1.5025944037765742,3.0750267485322054,0.383233333333325
8,30,5,heavy,MVN,3.028150795613553,4.353054083358027,0.393633333333325
15,30,5,heavy,SA,1.2148403753247534,4.371176106154916,0.37105999999999584
15,30,5,heavy,MVN,2.0146397520755217,5.393844437880432,0.36272666666666203
23,30,5,heavy,SA,1.290485101068054,3.3930585441589822,0.35840666666666043
23,30,5,heavy,MVN,1.7020671247842865,8.645190738028864,0.43977333333332536
40,30,5,heavy,SA,0.6945817408175905,1.0706726494667573,0.2526999999999972
40,30,5,heavy,MVN,0.6031883478464674,1.0798179169258533,0.2927999999999954
80,30,5,heavy,SA,1.2752533434565023,3.057872700818869,0.335913333333329
80,30,5,heavy,MVN,0.7723007843878023,3.6832289836635375,0.3663666666666616
8,30,10,gaussian,SA,0.8467113440340048,16.516512637387322,0.17502000000000428
8,30,10,gaussian,MVN,1.1944721085288506,18.04514033437878,0.1818800000000021
15,30,10,gaussian,SA,0.6466131180986182,19.418926644724223,0.18352666666666756
15,30,10,gaussian,MVN,0.9093402165605387,9.323128471245624,0.14491333333333442
23,30,10,gaussian,SA,0.6155014766359157,9.58004023677683,0.13844000000000092
23,30,10,gaussian,MVN,0.7101746716131451,8.130722546985112,0.137926666666666
40,30,10,gaussian,SA,0.4966242755652769,5.870622292886414,0.11268666666666759
40,30,10,gaussian,MVN,0.5577843653512268,4.343179000553528,0.10370666666666792
80,30,10,gaussian,SA,0.49851579475570584,3.3471017053973267,0.09705333333333263
80,30,10,gaussian,MVN,0.40402088817186793,4.2641960522495825,0.09090666666666589
8,30,10,heavy,SA,1.0858263344604764,2.529702480427184,0.3827799999999902
8,30,10,heavy,MVN,1.3687622392618952,2.713496680380912,0.3975399999999885
