Visit,Feature,Real_Mean,Real_Std,Synth_Mean,Synth_Std,Mean_Rel_Err,Std_Rel_Err
2,TF + TM  Initiator ETP as % of TF Run,0.63,0.15,0.62,0.13,0.0121,0.1038
2,No TF Lagtime (min),19.45,4.58,19.62,3.66,0.009,0.201
2,No TF Fold Ext. wrt TF,7.42,1.74,7.42,1.56,0.0005,0.1072
2,No TF Peak (nM),62.23,48.67,57.21,42.75,0.0807,0.1216
2,No TF Peak as % of TF Run,0.17,0.14,0.15,0.12,0.0842,0.1175
2,No TF T.Peak (min),28.57,5.66,28.81,4.25,0.0084,0.2484
2,No TF Max Rate (nM/min),8.89,12.92,7.62,11.83,0.1436,0.0839
2,No TF ETP (nM·min),924.52,438.51,883.24,398.29,0.0446,0.0917
2,No TF + anti-FXIa Lagtime (min),20.89,5.2,21.1,4.4,0.0102,0.1535
2,No TF + anti-FXIa Peak (nM),27.11,23.95,26.78,20.61,0.0123,0.1393
2,No TF + anti-FXIa Peak as % of No TF Run,0.41,0.14,0.43,0.13,0.0464,0.0821
2,No TF + anti-FXIa T.Peak (min),29.98,5.87,30.03,4.5,0.0014,0.2342
2,No TF + anti-FXIa Max Rate (nM/min),3.53,4.09,3.54,3.7,0.0035,0.0962
2,No TF + anti-FXIa ETP (nM·min),412.94,314.96,402.25,259.85,0.0259,0.175
2,TF Only CT (min),4.32,0.82,4.37,0.78,0.0127,0.0472
2,TF Only MCF (mm),27.3,4.04,27.4,3.3,0.0034,0.183
2,TF Only alpha (deg),61.17,5.9,60.97,4.47,0.0034,0.2418
2,TF Only AUC (mm·s),2739.48,402.77,2752.07,333.61,0.0046,0.1717
2,TF + tPA CT (min),4.31,0.81,4.37,0.73,0.0128,0.0996
2,TF + tPA MCF (mm),24.74,4.0,24.91,3.01,0.0068,0.2471
2,TF + tPA alpha (deg),60.2,6.04,60.22,4.48,0.0004,0.2587
2,TF + tPA LOT (min),40.3,10.41,40.9,10.58,0.0148,0.0164
2,TF + tPA ML (%),99.91,0.25,99.96,0.27,0.0005,0.0893
2,TF + tPA LT (min),54.76,13.19,55.59,13.62,0.0153,0.0323
2,TF + tPA AUC (mm·s),2489.67,400.48,2512.04,314.43,0.009,0.2149
3,Estradiol,10953.13,3197.38,11451.14,3199.15,0.0455,0.0006
3,Progesterone,130.97,41.78,137.24,44.89,0.0479,0.0743
3,II,110.17,13.76,110.26,12.05,0.0008,0.1245
3,V,92.31,13.86,93.15,15.92,0.0091,0.1483
3,VII,172.71,38.43,174.04,33.46,0.0077,0.1294
3,VIII,176.79,49.61,175.65,56.87,0.0065,0.1463
3,IX,139.44,30.34,136.94,25.36,0.0179,0.1642
3,X,113.39,12.31,113.38,13.93,0.0001,0.1316
3,XI,84.3,24.42,80.92,23.24,0.0401,0.0483
3,XII,168.2,40.79,173.73,46.26,0.0329,0.1342
3,AT,87.94,7.67,88.43,9.13,0.0056,0.19
3,PC,104.71,18.68,104.98,17.68,0.0026,0.0534
3,TFPI Total,52.24,13.99,52.51,14.98,0.0053,0.0712
3,TFPI Free,8.02,2.09,8.2,2.45,0.0221,0.1706
3,vWF,23.15,12.34,24.15,12.59,0.0429,0.02
3,C1estInh,146.03,21.19,146.69,19.37,0.0045,0.0859
3,Fbgn,412.66,61.5,419.25,50.94,0.016,0.1716
3,Plgn,249.86,40.66,247.85,32.68,0.0081,0.1963
3,PAI1,4.89,1.8,4.91,1.68,0.0046,0.0683
3,PAI2,501.01,181.6,495.25,247.82,0.0115,0.3647
3,α2-AP,64.32,22.43,64.7,24.64,0.0059,0.0989
3,TAFI,134.35,37.15,137.87,35.44,0.0262,0.0461
3,FXIII,52.8,12.24,54.06,15.34,0.0238,0.2533
3,γ',68.97,14.6,71.29,13.36,0.0336,0.0846
3,γ':γA,0.17,0.03,0.17,0.03,0.0141,0.0029
3,γ':γA Fold,1.15,0.18,1.17,0.17,0.015,0.0789
3,TAFIa/ai,37.15,9.89,37.58,10.93,0.0116,0.1047
3,F-mono,9.75,6.32,9.36,6.24,0.0402,0.0136
3,tPA PAI1,0.6,0.24,0.59,0.31,0.0173,0.2467
3,CD138,473.41,229.13,470.75,236.89,0.0056,0.0339
3,TM,3240.08,557.86,3255.8,473.37,0.0049,0.1515
3,NE-α1PI,45.42,9.77,45.37,10.07,0.001,0.0304
3,TNFα,0.89,0.32,0.84,0.36,0.0561,0.1167
3,sIL-6R,35.07,8.03,34.54,7.5,0.015,0.0657
3,TNFα R1,587.35,109.69,593.87,91.95,0.0111,0.1618
3,TNFα R2,2.55,0.5,2.63,0.51,0.0311,0.0237
3,TF Initiator Lagtime (min),2.71,0.36,2.7,0.36,0.0011,0.01
3,TF Initiator Peak (nM),370.27,41.98,374.41,40.04,0.0112,0.0461
3,TF Initiator T.Peak (min),5.36,0.61,5.38,0.59,0.0031,0.0249
3,TF Initiator Max Rate (nM/min),142.81,28.48,143.58,27.13,0.0054,0.0475
3,TF Initiator ETP (nM·min),2153.34,261.47,2194.86,284.63,0.0193,0.0886
3,TF + TM  Initiator Lagtime (min),2.63,0.34,2.62,0.29,0.0031,0.1284
3,TF + TM  Initiator Peak (nM),284.18,54.06,286.71,56.87,0.0089,0.052
3,TF + TM  Initiator Peak as % of TF Run,0.76,0.1,0.76,0.1,0.0033,0.0116
3,TF + TM  Initiator T.Peak (min),4.9,0.41,4.91,0.39,0.003,0.0448
3,TF + TM  Initiator Max Rate (nM/min),127.18,28.87,126.99,28.79,0.0015,0.0028
3,TF + TM  Initiator ETP (nM·min),1423.45,309.28,1456.5,346.19,0.0232,0.1193
3,TF + TM  Initiator ETP as % of TF Run,0.66,0.11,0.66,0.12,0.0002,0.0557
3,No TF Lagtime (min),19.46,5.38,19.06,4.48,0.0207,0.1675
3,No TF Fold Ext. wrt TF,7.21,1.95,7.07,1.71,0.0198,0.1221
3,No TF Peak (nM),69.85,47.24,69.59,43.03,0.0036,0.0891
3,No TF Peak as % of TF Run,0.19,0.13,0.19,0.12,0.0133,0.0713
3,No TF T.Peak (min),27.79,6.72,27.61,5.51,0.0062,0.1803
3,No TF Max Rate (nM/min),10.15,9.04,9.89,8.36,0.0262,0.075
3,No TF ETP (nM·min),1022.23,514.09,1042.41,447.8,0.0197,0.129
3,No TF + anti-FXIa Lagtime (min),21.46,6.81,21.06,6.26,0.0186,0.0807
3,No TF + anti-FXIa Peak (nM),40.18,40.78,39.23,35.59,0.0237,0.1274
3,No TF + anti-FXIa Peak as % of No TF Run,0.48,0.21,0.47,0.21,0.0071,0.0111
3,No TF + anti-FXIa T.Peak (min),30.11,7.93,29.95,6.71,0.0053,0.1535
3,No TF + anti-FXIa Max Rate (nM/min),6.01,7.27,5.76,6.26,0.0412,0.139
3,No TF + anti-FXIa ETP (nM·min),561.39,480.31,557.51,430.33,0.0069,0.1041
3,TF Only CT (min),4.03,0.69,4.01,0.79,0.0048,0.1444
3,TF Only MCF (mm),29.04,4.86,29.52,4.3,0.0165,0.1155
3,TF Only alpha (deg),64.8,5.98,64.62,6.18,0.0029,0.034
3,TF Only AUC (mm·s),2908.33,485.41,2952.01,430.87,0.015,0.1124
3,TF + tPA CT (min),3.96,0.74,3.95,0.87,0.0027,0.1644
3,TF + tPA MCF (mm),29.96,4.28,30.81,3.83,0.0285,0.1054
3,TF + tPA alpha (deg),66.24,4.98,66.38,5.09,0.0021,0.0226
3,TF + tPA LOT (min),68.82,31.36,73.05,36.39,0.0616,0.1604
3,TF + tPA ML (%),99.57,0.53,99.58,0.59,0.0001,0.1142
3,TF + tPA LT (min),93.29,42.14,98.96,49.17,0.0607,0.1668
3,TF + tPA AUC (mm·s),3002.24,426.94,3084.69,380.65,0.0275,0.1084
