Visit,Feature,Real_Mean,Real_Std,Synth_Mean,Synth_Std,Mean_Rel_Err,Std_Rel_Err
1,Estradiol,154.57,174.39,150.22,173.7,0.0281,0.004
1,Progesterone,0.34,0.31,0.33,0.38,0.0283,0.2416
1,II,91.83,12.67,91.4,10.21,0.0046,0.1943
1,V,91.21,14.55,89.81,14.68,0.0153,0.0086
1,VII,103.93,22.01,101.71,22.0,0.0213,0.0004
1,VIII,99.89,31.41,96.29,31.51,0.036,0.0034
1,IX,105.03,24.31,101.28,19.81,0.0357,0.185
1,X,92.16,13.8,91.37,10.21,0.0086,0.2602
1,XI,100.04,28.02,94.8,29.59,0.0524,0.0559
1,XII,108.6,27.06,110.92,34.79,0.0214,0.2854
1,AT,91.77,8.95,90.83,7.93,0.0102,0.1143
1,PC,126.39,24.24,125.57,20.14,0.0065,0.1691
1,TFPI Total,49.93,13.43,49.86,13.0,0.0013,0.0323
1,TFPI Free,13.87,2.5,13.7,2.34,0.0122,0.0643
1,vWF,9.13,5.0,9.04,4.83,0.0097,0.0333
1,C1estInh,184.37,36.86,185.78,34.57,0.0076,0.0623
1,Fbgn,264.64,46.62,266.79,34.24,0.0082,0.2656
1,Plgn,185.91,37.35,178.62,33.25,0.0392,0.1096
1,PAI1,1.57,1.98,1.32,1.76,0.1583,0.1131
1,PAI2,4.62,4.92,4.3,5.8,0.0702,0.1796
1,α2-AP,50.92,16.46,49.56,16.92,0.0268,0.028
1,TAFI,87.52,22.18,89.61,25.73,0.024,0.1602
1,FXIII,72.57,15.18,72.46,14.6,0.0015,0.0378
1,γ',38.61,8.07,38.86,7.86,0.0064,0.0266
1,γ':γA,0.15,0.03,0.15,0.03,0.0031,0.0828
1,γ':γA Fold,1.0,0.0,1.0,0.0,0.0,NaN
1,TAFIa/ai,10.34,2.41,10.15,2.23,0.0178,0.0736
1,F-mono,10.79,12.21,9.2,13.49,0.1474,0.1055
1,tPA PAI1,0.52,0.26,0.49,0.25,0.0483,0.018
1,CD138,23.46,19.4,24.13,24.27,0.0287,0.2508
1,TM,2701.45,418.58,2701.45,409.45,0.0,0.0218
1,NE-α1PI,28.54,7.45,29.01,6.24,0.0163,0.1618
1,TNFα,0.77,0.19,0.77,0.19,0.0048,0.0287
1,sIL-6R,34.61,6.95,34.18,5.63,0.0124,0.1895
1,TNFα R1,502.2,120.58,511.01,126.68,0.0176,0.0506
1,TNFα R2,1.78,0.29,1.85,0.31,0.0392,0.0433
1,TF Initiator Lagtime (min),2.73,0.38,2.73,0.3,0.0005,0.2092
1,TF Initiator Peak (nM),261.66,30.73,266.98,34.5,0.0203,0.1227
1,TF Initiator T.Peak (min),5.88,0.76,5.84,0.62,0.007,0.1799
1,TF Initiator Max Rate (nM/min),85.44,19.46,87.81,20.07,0.0277,0.0317
1,TF Initiator ETP (nM·min),1541.9,234.2,1569.68,230.24,0.018,0.0169
1,TF + TM  Initiator Lagtime (min),2.44,0.28,2.47,0.28,0.0125,0.0263
1,TF + TM  Initiator Peak (nM),125.43,40.28,133.51,34.84,0.0644,0.135
1,TF + TM  Initiator Peak as % of TF Run,0.48,0.13,0.5,0.11,0.0476,0.1829
1,TF + TM  Initiator T.Peak (min),4.84,0.4,4.88,0.36,0.0076,0.1019
1,TF + TM  Initiator Max Rate (nM/min),53.07,19.45,56.24,15.64,0.0596,0.196
1,TF + TM  Initiator ETP (nM·min),588.76,173.28,632.19,163.93,0.0738,0.0539
1,TF + TM  Initiator ETP as % of TF Run,0.39,0.13,0.41,0.1,0.0522,0.2207
1,No TF Lagtime (min),22.38,6.17,23.06,5.74,0.0304,0.0698
1,No TF Fold Ext. wrt TF,8.38,2.62,8.6,2.41,0.0267,0.0794
1,No TF Peak (nM),36.63,27.55,35.09,21.73,0.0422,0.2112
1,No TF Peak as % of TF Run,0.14,0.1,0.13,0.08,0.0583,0.2272
1,No TF T.Peak (min),31.06,6.24,31.65,5.54,0.019,0.112
1,No TF Max Rate (nM/min),4.46,3.72,4.32,3.13,0.0331,0.1588
1,No TF ETP (nM·min),507.86,323.42,481.93,233.08,0.0511,0.2793
1,No TF + anti-FXIa Lagtime (min),24.83,8.55,25.81,8.1,0.0394,0.0528
1,No TF + anti-FXIa Peak (nM),14.98,12.56,14.01,9.62,0.065,0.2342
1,No TF + anti-FXIa Peak as % of No TF Run,0.39,0.12,0.37,0.12,0.0315,0.0169
1,No TF + anti-FXIa T.Peak (min),33.36,8.47,34.47,7.81,0.0333,0.0784
1,No TF + anti-FXIa Max Rate (nM/min),1.81,1.6,1.68,1.27,0.0751,0.2092
1,No TF + anti-FXIa ETP (nM·min),211.25,173.81,195.85,127.2,0.0729,0.2681
1,TF Only CT (min),4.92,0.87,4.97,0.8,0.0084,0.075
1,TF Only MCF (mm),21.8,3.88,22.32,3.75,0.0238,0.0343
1,TF Only alpha (deg),52.63,6.26,52.91,4.49,0.0053,0.2828
1,TF Only AUC (mm·s),2192.41,394.8,2245.69,371.21,0.0243,0.0598
1,TF + tPA CT (min),4.93,0.87,4.99,0.85,0.012,0.0231
1,TF + tPA MCF (mm),19.46,3.22,19.65,2.41,0.0101,0.2514
1,TF + tPA alpha (deg),51.91,6.08,51.97,4.83,0.001,0.2053
1,TF + tPA LOT (min),35.37,22.46,34.5,22.16,0.0245,0.0135
1,TF + tPA ML (%),99.72,0.45,99.72,0.48,0.0,0.0761
1,TF + tPA LT (min),52.65,33.04,51.42,31.32,0.0233,0.0522
1,TF + tPA AUC (mm·s),1958.17,310.91,1973.3,233.6,0.0077,0.2487
2,Estradiol,2175.17,1465.73,2385.42,1591.14,0.0967,0.0856
2,Progesterone,36.52,36.74,44.71,41.01,0.2242,0.1162
2,II,101.87,12.62,101.62,9.01,0.0024,0.2857
2,V,83.52,10.19,83.11,11.67,0.0049,0.1452
2,VII,107.5,25.21,107.49,25.56,0.0001,0.0139
2,VIII,122.99,33.9,122.3,34.17,0.0056,0.008
2,IX,123.32,27.55,120.59,22.4,0.0221,0.1867
2,X,101.55,11.65,101.49,11.66,0.0006,0.0003
2,XI,98.58,27.62,95.28,24.52,0.0335,0.1121
2,XII,143.71,37.43,146.72,38.7,0.0209,0.034
2,AT,85.73,7.76,86.1,7.48,0.0044,0.0357
2,PC,116.99,23.96,117.27,16.65,0.0023,0.3052
2,TFPI Total,42.84,9.09,43.23,9.39,0.0091,0.0335
2,TFPI Free,8.47,1.91,8.44,1.8,0.0037,0.0563
2,vWF,13.08,5.82,13.21,5.38,0.0102,0.0758
2,C1estInh,160.78,32.84,160.57,36.97,0.0013,0.1256
2,Fbgn,342.4,59.93,345.43,45.27,0.0089,0.2447
2,Plgn,221.8,44.84,216.54,34.69,0.0237,0.2263
2,PAI1,0.82,0.38,0.74,0.34,0.0917,0.0944
2,PAI2,38.96,18.78,37.51,28.07,0.0372,0.4953
2,α2-AP,63.99,21.78,64.29,26.03,0.0047,0.1952
2,TAFI,96.84,21.93,98.75,24.02,0.0197,0.0957
2,FXIII,72.66,13.46,70.88,14.06,0.0246,0.0448
2,γ',56.45,11.32,56.98,9.44,0.0094,0.1666
2,γ':γA,0.17,0.03,0.17,0.03,0.0007,0.0363
2,γ':γA Fold,1.14,0.14,1.14,0.15,0.0006,0.0924
2,TAFIa/ai,12.73,3.06,12.71,2.74,0.0021,0.1039
2,F-mono,10.27,8.11,10.02,9.4,0.0242,0.1598
2,tPA PAI1,0.39,0.17,0.36,0.21,0.063,0.1973
2,CD138,39.47,13.62,41.16,14.35,0.043,0.0533
2,TM,2641.02,326.47,2649.54,303.96,0.0032,0.0689
2,NE-α1PI,37.58,18.06,36.74,17.52,0.0222,0.0298
2,TNFα,0.6,0.13,0.61,0.14,0.008,0.0592
2,sIL-6R,34.05,7.64,33.51,6.49,0.0159,0.1503
2,TNFα R1,462.85,93.2,469.98,86.03,0.0154,0.0769
2,TNFα R2,1.88,0.32,1.96,0.33,0.0455,0.0418
2,TF Initiator Lagtime (min),2.63,0.37,2.65,0.29,0.008,0.2292
2,TF Initiator Peak (nM),376.99,58.2,378.11,45.25,0.003,0.2225
2,TF Initiator T.Peak (min),5.34,0.73,5.36,0.54,0.003,0.2628
2,TF Initiator Max Rate (nM/min),143.92,38.88,144.76,26.8,0.0058,0.3107
2,TF Initiator ETP (nM·min),2254.74,362.59,2282.3,326.93,0.0122,0.0983
2,TF + TM  Initiator Lagtime (min),2.52,0.36,2.55,0.31,0.0118,0.1216
2,TF + TM  Initiator Peak (nM),269.19,72.59,268.06,62.95,0.0042,0.1329
2,TF + TM  Initiator Peak as % of TF Run,0.71,0.15,0.71,0.14,0.0042,0.0627
2,TF + TM  Initiator T.Peak (min),4.89,0.47,4.92,0.42,0.0063,0.1125
2,TF + TM  Initiator Max Rate (nM/min),115.6,36.28,115.09,28.31,0.0044,0.2197
2,TF + TM  Initiator ETP (nM·min),1410.03,379.24,1404.02,371.34,0.0043,0.0208
