β_frac,β,pc1_std,pc2_std,pc1_ratio,pc2_ratio,dist_ratio,mean_novelty,mean_rel_error,correlation_mae
0.5,0.05300129244034411,6.761967599470301,4.8238965582052185,1.9752919771390323,2.218099306588654,3.937980209364739,0.4200799814105657,0.5530098249144595,0.21318808695273503
1.0,0.10600258488068821,3.279984981047065,3.1672031025427647,0.9581424227330393,1.4563270420104797,2.6091018558496444,0.28687083874939584,0.9023601746844676,0.24723150608200425
2.0,0.21200516976137643,2.278239347089068,2.2267425230949565,0.6655145618651034,1.023889295061097,1.839195478355186,0.17945447610475854,0.9166179420405118,0.24865675056616396
3.0,0.31800775464206466,2.099829921271763,1.9418395677580487,0.613397969722528,0.8928866833647602,1.5152297655551221,0.12938551227121722,0.9163281491774651,0.23744154040919394
5.0,0.530012924403441,3.8345487320370117,2.6942964169070076,1.1201404376641342,1.2388775219320298,1.3815262232661722,0.09458124977253254,0.8363645729280942,0.22487069399434656
7.0,0.7420180941648175,5.841120119127844,3.525440539778331,1.7062959174371732,1.6210499380217382,1.6699263767898778,0.09170962308947074,0.6489527253288038,0.2388750025169594
10.0,1.060025848806882,6.4164554088727535,3.3565254781139617,1.8743616712699933,1.5433802830800665,1.7573689221118147,0.08342593812026904,0.5443536333476878,0.26835273666597464
15.0,1.5900387732103232,6.742107231254129,3.5619559805931926,1.969490407488875,1.6378402802220606,1.8376495606399206,0.07520223476226208,0.37979949655632994,0.27989287790827005
20.0,2.120051697613764,6.767826423568653,3.5277129969191514,1.9770034447062312,1.6220948475772161,1.8089526368003437,0.0636640586752167,0.3188477816125222,0.26993431224654735
30.0,3.1800775464206463,6.623278881415433,3.5590303894273103,1.9347785159217767,1.63649504993818,1.765543989856849,0.04794672681972584,0.26303810175199127,0.251256808738163
50.0,5.3001292440344105,6.401653197887506,3.617819880976381,1.8700376800391911,1.663527331593948,1.7062291294807812,0.03226076543609531,0.2260042525387141,0.2466447202806013
