Visit,Feature,SA_KS,MVN_KS
1,Estradiol,0.244,0.2471
1,Progesterone,0.33,0.286
1,II,0.1903,0.1563
1,V,0.0946,0.1171
1,VII,0.1666,0.1886
1,VIII,0.1191,0.1311
1,IX,0.0943,0.1257
1,X,0.1529,0.0849
1,XI,0.1217,0.1117
1,XII,0.1449,0.1009
1,AT,0.1077,0.1157
1,PC,0.1609,0.1489
1,TFPI Total,0.1331,0.1471
1,TFPI Free,0.1177,0.1
1,vWF,0.1929,0.1629
1,C1estInh,0.1494,0.1374
1,Fbgn,0.2071,0.1291
1,Plgn,0.13,0.1369
1,PAI1,0.2886,0.2703
1,PAI2,0.2277,0.2586
1,α2-AP,0.1663,0.1563
1,TAFI,0.14,0.144
1,FXIII,0.1297,0.1237
1,γ',0.1154,0.1114
1,γ':γA,0.1269,0.1369
1,γ':γA Fold,0.0,0.536
1,TAFIa/ai,0.134,0.166
1,F-mono,0.346,0.36
1,tPA PAI1,0.1463,0.1463
1,CD138,0.3726,0.3606
1,TM,0.1231,0.1331
1,NE-α1PI,0.2123,0.2003
1,TNFα,0.2331,0.2551
1,sIL-6R,0.1506,0.1366
1,TNFα R1,0.1811,0.1354
1,TNFα R2,0.118,0.1223
1,TF Initiator Lagtime (min),0.2329,0.2349
1,TF Initiator Peak (nM),0.1697,0.1277
1,TF Initiator T.Peak (min),0.1791,0.14
1,TF Initiator Max Rate (nM/min),0.158,0.1434
1,TF Initiator ETP (nM·min),0.1126,0.106
1,TF + TM  Initiator Lagtime (min),0.1837,0.1917
1,TF + TM  Initiator Peak (nM),0.136,0.1091
1,TF + TM  Initiator Peak as % of TF Run,0.126,0.108
1,TF + TM  Initiator T.Peak (min),0.1177,0.1577
1,TF + TM  Initiator Max Rate (nM/min),0.1586,0.0866
1,TF + TM  Initiator ETP (nM·min),0.1346,0.1786
1,TF + TM  Initiator ETP as % of TF Run,0.1466,0.1086
1,No TF Lagtime (min),0.1326,0.1169
1,No TF Fold Ext. wrt TF,0.1771,0.1463
1,No TF Peak (nM),0.1963,0.2197
1,No TF Peak as % of TF Run,0.216,0.24
1,No TF T.Peak (min),0.1146,0.0786
1,No TF Max Rate (nM/min),0.2243,0.2283
1,No TF ETP (nM·min),0.1626,0.1926
1,No TF + anti-FXIa Lagtime (min),0.2237,0.1877
1,No TF + anti-FXIa Peak (nM),0.1357,0.2057
1,No TF + anti-FXIa Peak as % of No TF Run,0.154,0.142
1,No TF + anti-FXIa T.Peak (min),0.1814,0.1674
1,No TF + anti-FXIa Max Rate (nM/min),0.138,0.196
1,No TF + anti-FXIa ETP (nM·min),0.124,0.172
1,TF Only CT (min),0.1186,0.1526
1,TF Only MCF (mm),0.1729,0.1549
1,TF Only alpha (deg),0.1966,0.1806
1,TF Only AUC (mm·s),0.1969,0.1629
1,TF + tPA CT (min),0.1226,0.1586
1,TF + tPA MCF (mm),0.1443,0.1051
1,TF + tPA alpha (deg),0.1583,0.1483
1,TF + tPA LOT (min),0.1891,0.1751
1,TF + tPA ML (%),0.3966,0.3906
1,TF + tPA LT (min),0.2,0.2
1,TF + tPA AUC (mm·s),0.1386,0.1011
2,Estradiol,0.2134,0.2334
2,Progesterone,0.3577,0.3437
2,II,0.1072,0.1132
2,V,0.1013,0.1408
2,VII,0.2082,0.1982
2,VIII,0.1282,0.1061
2,IX,0.0851,0.1131
2,X,0.0945,0.1005
2,XI,0.2065,0.1825
2,XII,0.2741,0.2521
2,AT,0.1121,0.1141
2,PC,0.1304,0.1231
2,TFPI Total,0.1308,0.1228
2,TFPI Free,0.0831,0.1318
2,vWF,0.1201,0.1241
2,C1estInh,0.1562,0.1459
2,Fbgn,0.1315,0.1697
2,Plgn,0.1336,0.1731
2,PAI1,0.1373,0.1336
2,PAI2,0.1437,0.1147
2,α2-AP,0.1017,0.0801
2,TAFI,0.1847,0.2047
2,FXIII,0.1161,0.1001
2,γ',0.1307,0.1224
2,γ':γA,0.165,0.1501
2,γ':γA Fold,0.091,0.0725
2,TAFIa/ai,0.1267,0.1519
2,F-mono,0.284,0.2987
2,tPA PAI1,0.1674,0.0814
2,CD138,0.1102,0.1155
2,TM,0.1245,0.1205
2,NE-α1PI,0.2545,0.3025
2,TNFα,0.1484,0.1484
2,sIL-6R,0.1313,0.1059
2,TNFα R1,0.1202,0.1142
2,TNFα R2,0.1493,0.1933
2,TF Initiator Lagtime (min),0.165,0.1567
2,TF Initiator Peak (nM),0.1004,0.0864
2,TF Initiator T.Peak (min),0.173,0.1098
2,TF Initiator Max Rate (nM/min),0.1779,0.1859
2,TF Initiator ETP (nM·min),0.137,0.0824
2,TF + TM  Initiator Lagtime (min),0.1808,0.1484
2,TF + TM  Initiator Peak (nM),0.1207,0.0915
2,TF + TM  Initiator Peak as % of TF Run,0.1296,0.1156
2,TF + TM  Initiator T.Peak (min),0.1973,0.1601
2,TF + TM  Initiator Max Rate (nM/min),0.1085,0.1005
2,TF + TM  Initiator ETP (nM·min),0.1239,0.1119
2,TF + TM  Initiator ETP as % of TF Run,0.1833,0.1413
2,No TF Lagtime (min),0.1353,0.1304
2,No TF Fold Ext. wrt TF,0.2215,0.1975
2,No TF Peak (nM),0.2519,0.2619
2,No TF Peak as % of TF Run,0.243,0.2473
2,No TF T.Peak (min),0.1253,0.1036
2,No TF Max Rate (nM/min),0.3342,0.3122
2,No TF ETP (nM·min),0.1573,0.1193
2,No TF + anti-FXIa Lagtime (min),0.1452,0.1428
2,No TF + anti-FXIa Peak (nM),0.305,0.279
2,No TF + anti-FXIa Peak as % of No TF Run,0.1118,0.1168
2,No TF + anti-FXIa T.Peak (min),0.1438,0.0935
2,No TF + anti-FXIa Max Rate (nM/min),0.3436,0.3116
2,No TF + anti-FXIa ETP (nM·min),0.2327,0.2227
2,TF Only CT (min),0.1058,0.1081
2,TF Only MCF (mm),0.1564,0.1314
2,TF Only alpha (deg),0.1998,0.1678
2,TF Only AUC (mm·s),0.1384,0.1494
2,TF + tPA CT (min),0.113,0.1121
2,TF + tPA MCF (mm),0.1879,0.1198
2,TF + tPA alpha (deg),0.1236,0.1424
2,TF + tPA LOT (min),0.1947,0.2207
2,TF + tPA ML (%),0.4525,0.4985
2,TF + tPA LT (min),0.181,0.209
2,TF + tPA AUC (mm·s),0.1956,0.1381
3,Estradiol,0.116,0.1528
3,Progesterone,0.126,0.1028
3,II,0.1187,0.1043
3,V,0.1801,0.1637
3,VII,0.1343,0.1543
3,VIII,0.1397,0.1962
3,IX,0.1201,0.1006
3,X,0.1698,0.1798
3,XI,0.1622,0.1723
3,XII,0.1097,0.1597
3,AT,0.1221,0.1203
3,PC,0.1211,0.1611
3,TFPI Total,0.1651,0.1751
3,TFPI Free,0.0981,0.1012
3,vWF,0.1475,0.1315
3,C1estInh,0.1888,0.1579
3,Fbgn,0.1228,0.1148
3,Plgn,0.1389,0.167
3,PAI1,0.1315,0.1495
3,PAI2,0.1447,0.1499
3,α2-AP,0.1323,0.1323
3,TAFI,0.0817,0.0937
3,FXIII,0.1403,0.1303
3,γ',0.1098,0.1263
3,γ':γA,0.221,0.191
3,γ':γA Fold,0.2171,0.2091
3,TAFIa/ai,0.1388,0.1364
3,F-mono,0.2648,0.2388
3,tPA PAI1,0.131,0.1209
3,CD138,0.166,0.1957
3,TM,0.1349,0.0949
3,NE-α1PI,0.1512,0.1177
3,TNFα,0.176,0.1967
3,sIL-6R,0.1228,0.1268
3,TNFα R1,0.1008,0.1048
3,TNFα R2,0.1631,0.1428
3,TF Initiator Lagtime (min),0.1748,0.1459
3,TF Initiator Peak (nM),0.1392,0.0852
3,TF Initiator T.Peak (min),0.1578,0.1578
3,TF Initiator Max Rate (nM/min),0.1064,0.0824
3,TF Initiator ETP (nM·min),0.1302,0.1161
3,TF + TM  Initiator Lagtime (min),0.1748,0.1617
3,TF + TM  Initiator Peak (nM),0.1632,0.1072
3,TF + TM  Initiator Peak as % of TF Run,0.1678,0.1418
3,TF + TM  Initiator T.Peak (min),0.2392,0.2132
3,TF + TM  Initiator Max Rate (nM/min),0.1423,0.1092
3,TF + TM  Initiator ETP (nM·min),0.2012,0.1712
3,TF + TM  Initiator ETP as % of TF Run,0.1386,0.1566
3,No TF Lagtime (min),0.1288,0.0897
3,No TF Fold Ext. wrt TF,0.0834,0.1116
3,No TF Peak (nM),0.2062,0.1801
3,No TF Peak as % of TF Run,0.2122,0.2042
3,No TF T.Peak (min),0.0988,0.1131
3,No TF Max Rate (nM/min),0.2601,0.2261
3,No TF ETP (nM·min),0.1838,0.1398
3,No TF + anti-FXIa Lagtime (min),0.071,0.1151
3,No TF + anti-FXIa Peak (nM),0.2767,0.2637
3,No TF + anti-FXIa Peak as % of No TF Run,0.1777,0.2097
3,No TF + anti-FXIa T.Peak (min),0.0803,0.1016
3,No TF + anti-FXIa Max Rate (nM/min),0.3027,0.2697
3,No TF + anti-FXIa ETP (nM·min),0.2657,0.2677
3,TF Only CT (min),0.1019,0.1219
3,TF Only MCF (mm),0.1364,0.1023
3,TF Only alpha (deg),0.1479,0.1288
3,TF Only AUC (mm·s),0.1413,0.1273
3,TF + tPA CT (min),0.1306,0.1341
3,TF + tPA MCF (mm),0.1263,0.1283
3,TF + tPA alpha (deg),0.1514,0.0954
3,TF + tPA LOT (min),0.182,0.164
3,TF + tPA ML (%),0.3642,0.4062
3,TF + tPA LT (min),0.196,0.182
3,TF + tPA AUC (mm·s),0.1272,0.1532
