chain,mala_accept_rate,ula_mean_energy,mala_mean_energy,ula_tau_int,mala_tau_int,ula_ess,mala_ess
1,0.9992,2.028236245284618,1.900215192631029,108.76230276687639,72.5094917943907,36.78664296558556,55.1789827922848
2,0.9998,1.9711721644002793,2.1171625272469803,59.48018378656725,167.69325211955498,67.26610015794148,23.85903994006588
3,0.9992,1.6259691554792433,1.720410575397108,88.23905489363482,74.95751436008548,45.342734062857865,53.37690335861128
4,0.9992,1.8982678259213228,1.6941661731370967,70.82045772780114,83.25675134684681,56.494975157854356,48.056162836955686
5,0.9994,1.915574541152663,1.8999269307155648,85.48328214091748,103.98786951012305,46.8044733402308,38.4756416190497
6,0.9992,1.7962201257804657,1.5392876555288413,89.41785255614381,117.94554782651468,44.74497972860449,33.922433476548385
7,0.9992,1.9175563891516376,1.7866818973293697,97.2121574896064,106.59269541122381,41.1574035935554,37.53540507221951
8,0.9988,2.103694751757787,2.3008672203161518,230.48761704412317,99.5133467651302,17.358850125271903,40.20566215548047
9,0.9992,1.9843907998628039,1.7865598373860458,112.78573281497336,145.80282258524372,35.47434502698758,27.441169718513596
10,0.9988,2.0822719192591617,2.1115820094562756,152.10836683775,94.47783531396718,26.30361552870896,42.34855706318782
