row_type,M,T,alpha,beta_star,B,B_fallback_used,tau,ESS,ks_energy_D,ks_energy_p,ks_dist_D,ks_dist_p,init_dependent,mala_accept_mean,mala_accept_std,representative_k0,anchor_dist_nearest_t0,anchor_dist_nearest_T,anchor_dist_own_t0,anchor_dist_own_T,t0,rhat,t,dist_nearest,dist_own_anchor
summary,20,5000,0.01,2.9400480643347087,0,false,107.0,46.728971962616825,0.25,0.5595597101952634,0.25,0.5595597101952634,false,0.9988699999999999,0.0004600915240757059,1,0.05396549363582573,1.7011982597979498,0.05396549363582573,2.552381278008172,,,,,
rhat_window,,,,,,,,,,,,,,,,,,,,,0,1.0275735026601092,,,
rhat_window,,,,,,,,,,,,,,,,,,,,,50,1.0275369756122992,,,
rhat_window,,,,,,,,,,,,,,,,,,,,,100,1.0278348053573862,,,
rhat_window,,,,,,,,,,,,,,,,,,,,,150,1.0277232284623048,,,
rhat_window,,,,,,,,,,,,,,,,,,,,,200,1.028792496501778,,,
rhat_window,,,,,,,,,,,,,,,,,,,,,250,1.0296777103024726,,,
rhat_window,,,,,,,,,,,,,,,,,,,,,300,1.0308386547278237,,,
rhat_window,,,,,,,,,,,,,,,,,,,,,350,1.030644927933317,,,
rhat_window,,,,,,,,,,,,,,,,,,,,,400,1.0297630053427738,,,
rhat_window,,,,,,,,,,,,,,,,,,,,,450,1.0292422358054805,,,
rhat_window,,,,,,,,,,,,,,,,,,,,,500,1.029035748030068,,,
rhat_window,,,,,,,,,,,,,,,,,,,,,550,1.029722756955829,,,
rhat_window,,,,,,,,,,,,,,,,,,,,,600,1.0309844529544543,,,
rhat_window,,,,,,,,,,,,,,,,,,,,,650,1.0317539251722305,,,
rhat_window,,,,,,,,,,,,,,,,,,,,,700,1.032342151197294,,,
rhat_window,,,,,,,,,,,,,,,,,,,,,750,1.0327805056350192,,,
rhat_window,,,,,,,,,,,,,,,,,,,,,800,1.033372733821004,,,
rhat_window,,,,,,,,,,,,,,,,,,,,,850,1.0331839655048287,,,
rhat_window,,,,,,,,,,,,,,,,,,,,,900,1.0325833898209218,,,
rhat_window,,,,,,,,,,,,,,,,,,,,,950,1.0337500788201734,,,
rhat_window,,,,,,,,,,,,,,,,,,,,,1000,1.0335941412871825,,,
rhat_window,,,,,,,,,,,,,,,,,,,,,1050,1.0339542355633622,,,
rhat_window,,,,,,,,,,,,,,,,,,,,,1100,1.0341763388407361,,,
rhat_window,,,,,,,,,,,,,,,,,,,,,1150,1.034478518940077,,,
rhat_window,,,,,,,,,,,,,,,,,,,,,1200,1.0345814446004993,,,
rhat_window,,,,,,,,,,,,,,,,,,,,,1250,1.0339944141421051,,,
rhat_window,,,,,,,,,,,,,,,,,,,,,1300,1.0342002331135292,,,
rhat_window,,,,,,,,,,,,,,,,,,,,,1350,1.0344211599351694,,,
rhat_window,,,,,,,,,,,,,,,,,,,,,1400,1.035303111847841,,,
rhat_window,,,,,,,,,,,,,,,,,,,,,1450,1.0358043972627,,,
rhat_window,,,,,,,,,,,,,,,,,,,,,1500,1.0361247023634033,,,
rhat_window,,,,,,,,,,,,,,,,,,,,,1550,1.0371690935665645,,,
rhat_window,,,,,,,,,,,,,,,,,,,,,1600,1.0380207907516203,,,
rhat_window,,,,,,,,,,,,,,,,,,,,,1650,1.039895475304765,,,
rhat_window,,,,,,,,,,,,,,,,,,,,,1700,1.041759487466373,,,
rhat_window,,,,,,,,,,,,,,,,,,,,,1750,1.0435148754274388,,,
rhat_window,,,,,,,,,,,,,,,,,,,,,1800,1.0448175456956854,,,
rhat_window,,,,,,,,,,,,,,,,,,,,,1850,1.0436640553167724,,,
rhat_window,,,,,,,,,,,,,,,,,,,,,1900,1.042835485243314,,,
rhat_window,,,,,,,,,,,,,,,,,,,,,1950,1.0424622729813866,,,
rhat_window,,,,,,,,,,,,,,,,,,,,,2000,1.042104442953609,,,
rhat_window,,,,,,,,,,,,,,,,,,,,,2050,1.0433175464284272,,,
rhat_window,,,,,,,,,,,,,,,,,,,,,2100,1.0442244104497103,,,
rhat_window,,,,,,,,,,,,,,,,,,,,,2150,1.0443434972498846,,,
rhat_window,,,,,,,,,,,,,,,,,,,,,2200,1.0446705281812474,,,
rhat_window,,,,,,,,,,,,,,,,,,,,,2250,1.0462836496963108,,,
rhat_window,,,,,,,,,,,,,,,,,,,,,2300,1.0467821373972896,,,
rhat_window,,,,,,,,,,,,,,,,,,,,,2350,1.0476383319711062,,,
rhat_window,,,,,,,,,,,,,,,,,,,,,2400,1.050634409052273,,,
rhat_window,,,,,,,,,,,,,,,,,,,,,2450,1.0517412531989099,,,
rhat_window,,,,,,,,,,,,,,,,,,,,,2500,1.0535560694163697,,,
rhat_window,,,,,,,,,,,,,,,,,,,,,2550,1.0552909240697088,,,
rhat_window,,,,,,,,,,,,,,,,,,,,,2600,1.0566972291192527,,,
rhat_window,,,,,,,,,,,,,,,,,,,,,2650,1.057063822226286,,,
rhat_window,,,,,,,,,,,,,,,,,,,,,2700,1.0607979793194409,,,
rhat_window,,,,,,,,,,,,,,,,,,,,,2750,1.0649383353336177,,,
rhat_window,,,,,,,,,,,,,,,,,,,,,2800,1.0685034042677992,,,
rhat_window,,,,,,,,,,,,,,,,,,,,,2850,1.0729432125912897,,,
rhat_window,,,,,,,,,,,,,,,,,,,,,2900,1.0726552161413534,,,
rhat_window,,,,,,,,,,,,,,,,,,,,,2950,1.0700323835296615,,,
rhat_window,,,,,,,,,,,,,,,,,,,,,3000,1.0728274568907035,,,
rhat_window,,,,,,,,,,,,,,,,,,,,,3050,1.0751629468646235,,,
rhat_window,,,,,,,,,,,,,,,,,,,,,3100,1.0775761120447553,,,
rhat_window,,,,,,,,,,,,,,,,,,,,,3150,1.0792050388359546,,,
rhat_window,,,,,,,,,,,,,,,,,,,,,3200,1.0788693091855623,,,
rhat_window,,,,,,,,,,,,,,,,,,,,,3250,1.0776031511947153,,,
