Scheme,Kind,Rep,AUC,N_train,N_holdout,Extra
Exact,rep,1,0.9833333333333333,15,8,train=5;24;42;56;59;60;65;74;78;88;109;118;132;147;151|holdout=7;46;58;61;79;100;120;138
Exact,rep,2,0.9833333333333333,15,8,train=7;42;46;56;58;60;61;74;78;88;100;118;120;132;138|holdout=5;24;59;65;79;109;147;151
Exact,rep,3,0.9666666666666667,15,8,train=42;46;56;58;60;61;65;74;78;100;118;120;138;147;151|holdout=5;7;24;59;79;88;109;132
Exact,rep,4,1.0,15,8,train=5;7;24;42;46;56;58;59;60;74;79;100;118;132;147|holdout=61;65;78;88;109;120;138;151
Exact,rep,5,1.0,15,8,train=5;42;46;58;60;61;65;74;78;79;88;100;109;132;151|holdout=7;24;56;59;118;120;138;147
Exact,rep,6,0.9666666666666667,15,8,train=5;24;42;56;59;61;74;78;88;100;120;132;138;147;151|holdout=7;46;58;60;65;79;109;118
Exact,rep,7,0.9583333333333334,15,8,train=7;46;56;58;61;65;74;88;100;109;118;132;138;147;151|holdout=5;24;42;59;60;78;79;120
Exact,rep,8,0.975,15,8,train=5;7;24;42;46;56;58;59;74;78;79;88;109;132;147|holdout=60;61;65;100;118;120;138;151
Exact,rep,9,1.0,15,8,train=24;42;56;58;59;60;61;74;79;88;100;120;138;147;151|holdout=5;7;46;65;78;109;118;132
Exact,rep,10,1.0,15,8,train=5;7;24;42;56;58;59;60;74;88;100;109;120;132;147|holdout=46;61;65;78;79;118;138;151
Exact,rep,11,1.0,15,8,train=5;24;46;56;58;59;60;74;88;100;109;118;132;138;151|holdout=7;42;61;65;78;79;120;147
Exact,rep,12,0.9916666666666667,15,8,train=24;46;56;58;59;61;65;78;88;100;118;120;132;138;151|holdout=5;7;42;60;74;79;109;147
Exact,rep,13,1.0,15,8,train=5;7;24;42;46;56;59;60;65;74;78;88;100;120;138|holdout=58;61;79;109;118;132;147;151
Exact,rep,14,1.0,15,8,train=5;24;42;46;56;59;60;65;79;88;118;120;132;138;151|holdout=7;58;61;74;78;100;109;147
Exact,rep,15,0.9916666666666667,15,8,train=5;7;24;42;46;56;58;60;65;78;79;118;120;138;151|holdout=59;61;74;88;100;109;132;147
Exact,rep,16,0.9916666666666667,15,8,train=7;24;46;58;61;65;74;78;88;100;109;118;120;132;138|holdout=5;42;56;59;60;79;147;151
