Feature,Source,V1_mean,V2_mean,V3_mean,V1_V2_up,V2_V3_up,Monotone
Fbgn,Real,265.48346804088123,348.6796373815753,419.0741307934665,true,true,true
Fbgn,Synthetic,266.7938810010662,345.43313377933214,419.2497785959872,true,true,true
VIII,Real,98.10501342067789,121.37888660680785,176.58284566119607,true,true,true
VIII,Synthetic,96.29130360065221,122.30179978914565,175.64595453012566,true,true,true
vWF,Real,9.089267836074637,13.708455652640366,24.180193790273595,true,true,true
vWF,Synthetic,9.03928331303253,13.21377774722037,24.148961641210914,true,true,true
VII,Real,101.38745044632829,106.46377834127043,170.48900770855224,true,true,true
VII,Synthetic,101.7115160625081,107.49029212623607,174.0426227700042,true,true,true
TF Initiator Peak (nM),Real,260.4242857142857,378.9884848484848,368.1541379310345,true,false,false
TF Initiator Peak (nM),Synthetic,266.9790907753844,378.1118472864902,374.4058623621893,true,false,false
